Fund Name,Plan,Category,VR ID,Scheme Code,ISIN,Alpha,Beta,Sharpe,Standard Deviation,Sortino,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Avg Maturity,YTM,Macaulay Duration,Avg Credit Rating,Fund_Ret_1Y,Fund_Ret_3Y,Fund_Ret_5Y,BM_Ret_1Y,BM_Ret_3Y,BM_Ret_5Y
360 ONE Gold ETF-Growth,Regular,Commodities: Gold,44993,153357,INF579M01BB5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61.83,--,--,63.22,35.92,25.14
Aditya Birla Sun Life Gold ETF,Regular,Commodities: Gold,12631,115127,INF209KB18D3,-0.17,0.97,1.37,18.61,--,--,--,--,--,--,--,--,--,--,--,63.25,36.05,25.31,63.22,35.92,25.14
Aditya Birla Sun Life Gold Fund Direct-Growth,Direct,Commodities: Gold,15842,120546,INF209K01YU5,-0.3,0.96,1.36,18.53,--,--,--,--,--,--,--,--,--,--,--,63.3,36.02,25.31,63.22,35.92,25.14
Aditya Birla Sun Life Gold Fund Regular-Growth,Regular,Commodities: Gold,14217,116796,INF209K01PF4,-0.64,0.96,1.34,18.53,--,--,--,--,--,--,--,--,--,--,--,62.78,35.56,24.87,63.22,35.92,25.14
Angel One Gold ETF FoF Direct - Growth,Direct,Commodities: Gold,45470,153827,INF1J2R01098,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63.22,35.92,25.14
Angel One Gold ETF FoF Regular - Growth,Regular,Commodities: Gold,45469,153828,INF1J2R01106,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63.22,35.92,25.14
Angel One Gold ETF Regular-Growth,Regular,Commodities: Gold,45466,153826,INF1J2R01114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63.22,35.92,25.14
Axis Gold Direct Plan-Growth,Direct,Commodities: Gold,15686,120473,INF846K01DS2,3.06,0.83,1.53,16.32,--,--,--,--,--,--,--,--,--,--,--,62.99,35.6,25.29,63.22,35.92,25.14
Axis Gold ETF-Growth,Regular,Commodities: Gold,11669,113434,INF846K01W80,0.04,0.97,1.37,18.68,--,--,--,--,--,--,--,--,--,--,--,62.86,36,25.3,63.22,35.92,25.14
Axis Gold Fund Regular-Growth,Regular,Commodities: Gold,13393,115897,INF846K01AL3,2.77,0.83,1.51,16.33,--,--,--,--,--,--,--,--,--,--,--,62.48,35.22,24.97,63.22,35.92,25.14
Axis Gold and Silver Passive FoF Direct-Growth,Direct,Commodities: Gold,45710,154078,INF846KA1408,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63.22,35.92,25.14
