Fund Name,ISIN,Scheme Code,Matched NAV Name,Match Confidence,Plan,Category,VR ID,YTM (%),Macaulay Dur (yrs),Avg Maturity (yrs),Avg Credit Rating,"YTM Score
(10)","Mac Dur Score
(10)","Avg Mat Score
(10)","Credit Score
(10)","TOTAL SCORE
(40)",RISK CATEGORY,Verification Status,Note,Return_1Y,Return_3Y,Return_5Y,BM_Return_1Y,BM_Return_3Y,BM_Return_5Y
ABSL Banking & PSU Debt Dir,INF209K01YN0,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,1,Direct,Banking and PSU,15941,7.5,2.91,3.91,AAA,8,6,6,9,29,Low Risk,OK,Verified ✓,5.26,7.25,6.31,5.43,7.22,6.21
Axis Banking & PSU Debt Dir,INF846K01CR6,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,1,Direct,Banking and PSU,15680,6.96,2.43,2.97,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,5.59,7.11,6.1,5.43,7.22,6.21
Bajaj Finserv Banking and PSU Dir,INF0QA701607,152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,1,Direct,Banking and PSU,43851,6.85,2.85,3.33,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,5.25,N/A,N/A,5.43,N/A,N/A
Bandhan Banking and PSU Dir,INF194K015G8,121279,Bandhan Banking and PSU Fund - Direct Growth,1,Direct,Banking and PSU,18448,6.76,1.66,2.03,AAA,5,8,6,9,28,Low Risk,OK,Verified ✓,5.72,7.13,6.13,5.43,7.22,6.21
Canara Robeco Banking and PSU Debt Dir,INF760K01KC4,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,1,Direct,Banking and PSU,42432,6.91,2.9,3.43,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,4.85,6.74,N/A,5.43,7.22,N/A
DSP Banking & PSU Debt Dir,INF740K01ZW2,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,1,Direct,Banking and PSU,21204,7.13,4.32,6.8,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,4.29,7.08,5.97,5.43,7.22,6.21
Edelweiss Banking and PSU Debt Dir,INF843K01FC8,140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,1,Direct,Banking and PSU,21020,6.92,2.59,3,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,5.03,7.15,6.14,5.43,7.22,6.21
Franklin India Banking & PSU Debt Dir,INF090I01KR8,129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,1,Direct,Banking and PSU,26029,7.18,3.03,6.11,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,6.5,7.52,6.35,5.43,7.22,6.21
HDFC Banking and PSU Debt Dir,INF179KA1IZ7,128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,1,Direct,Banking and PSU,25440,7.14,3.28,4.34,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,5.28,7.3,6.28,5.43,7.22,6.21
HSBC Banking & PSU Debt Dir,INF917K01HH5,151107,HSBC Banking and PSU Debt Fund - Direct Growth,1,Direct,Banking and PSU,16783,6.96,2.48,2.91,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,5.64,7.03,5.65,5.43,7.22,6.21
ICICI Pru Banking & PSU Debt Dir,INF109K010A6,120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,1,Direct,Banking and PSU,17786,7.21,3.47,5.94,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,5.74,7.53,6.72,5.43,7.22,6.21
ITI Banking & PSU Debt Dir,INF00XX01861,148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,1,Direct,Banking and PSU,41135,6.37,1.1,1.26,AAA,3,8,8,9,28,Low Risk,OK,Verified ✓,5.73,7.25,6.39,5.43,7.22,6.21
Invesco India Banking and PSU Dir,INF205K01KT4,120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,1,Direct,Banking and PSU,16371,6.89,3.25,4.24,AAA,5,4,4,9,22,Moderate Risk,OK,Verified ✓,5.12,7.17,5.62,5.43,7.22,6.21
Kotak Banking & PSU Debt Dir,INF174K01KH7,123693,Kotak Banking and PSU Debt Direct - Growth,1,Direct,Banking and PSU,16356,7.17,3.4,4.04,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,5.73,7.5,6.56,5.43,7.22,6.21
LIC MF Banking & PSU Dir,INF767K01GI4,120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,1,Direct,Banking and PSU,16974,6.66,2.39,3.4,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,5.5,7.36,6.13,5.43,7.22,6.21
Mirae Asset Banking and PSU Dir,INF769K01FY9,148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,1,Direct,Banking and PSU,41030,6.76,2.53,3,AAA,5,6,6,9,26,Moderate Risk,OK,Verified ✓,4.79,7.01,5.89,5.43,7.22,6.21
Nippon India Banking and PSU Dir,INF204KA1U53,134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,1,Direct,Banking and PSU,30193,7.08,3.4,4.11,AAA,7,4,4,9,24,Moderate Risk,OK,Verified ✓,5.15,7.26,6.24,5.43,7.22,6.21
SBI Banking and PSU Dir,INF200K01V08,125503,SBI BANKING & PSU FUND - Direct Plan - Growth,MANUAL_VERIFIED,Direct,Banking and PSU,17346,6.09,1.9,2.27,AAA,3,8,6,9,26,Moderate Risk,OK,Verified ✓,5.42,7.23,6.07,5.43,7.22,6.21
Sundaram Banking & PSU Dir,INF903J017I5,134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,1,Direct,Banking and PSU,17237,7.06,2.31,2.64,AAA,7,6,6,9,28,Low Risk,OK,Verified ✓,5.43,7.2,5.81,5.43,7.22,6.21
UTI Banking & PSU Dir,INF789F015Z6,126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,1,Direct,Banking and PSU,23934,6.87,1.1,1.14,AAA,5,8,8,9,30,Low Risk,OK,Verified ✓,6.51,7.34,7.49,5.43,7.22,6.21
