Fund Name,Plan,Category,VR ID,ISIN,Scheme Code,Mapping Status,Alpha,Beta,Sharpe,Std Dev,Mean Return,Sortino,"Alpha Score
(/12)","Sharpe Score
(/12)","Std Dev Score
(/6)","Beta Score
(/6)","Sortino Score
(/4)","TOTAL
(/40)",RISK CATEGORY,Verification Status,Note,Return_1Y,Return_3Y,Return_5Y,Return_7Y,Return_10Y,Benchmark_Name,BM_Return_1Y,BM_Return_3Y,BM_Return_5Y,BM_Return_7Y,BM_Return_10Y
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,151165,NAV-verified,-2.24,0.88,0.31,13.26,10.16,0.39,2,2,4,4,1,13,Moderately High Risk,OK,Verified ✓,8.34,11.86,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,119544,NAV-verified,0.55,0.93,0.53,13.76,13.25,0.66,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,14.39,15.88,9.87,10.2,12.08,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,120503,NAV-verified,0.22,0.92,0.48,14.32,12.88,0.63,6,4,3,4,1,18,Moderately High Risk,OK,Verified ✓,6.56,14.76,8.98,11.94,13.26,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,153201,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,8.6,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,118473,NAV-verified,0.66,0.9,0.53,13.37,13.16,0.65,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,11.19,15.57,15.15,16.2,16.6,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF209KB1W74,148807,NAV-verified,1.29,1.1,0.53,17.3,15.24,0.7,6,6,2,2,1,17,Moderately High Risk,OK,Verified ✓,18.05,17.8,13.78,16.95,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,119351,NAV-verified,2.53,1.07,0.6,17.05,16.27,0.81,8,6,2,2,2,20,Moderate Risk,OK,Verified ✓,14.64,18.31,15.62,19.16,17.8,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01DS3,141950,NAV-verified,1.89,1.1,0.56,17.63,15.87,0.71,8,6,2,2,1,19,Moderately High Risk,OK,Verified ✓,21.26,18.23,14.33,17.85,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,150159,NAV-verified,3.94,0.96,0.74,14.64,16.87,0.93,10,8,3,3,2,26,Moderate Risk,OK,Verified ✓,14.04,19.69,14.88,15.77,14.38,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,118285,NAV-verified,0.48,0.94,0.52,13.9,13.29,0.63,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,12.14,15.65,13.75,16.17,16.09,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,119242,NAV-verified,3.57,1.01,0.72,15.18,16.88,0.88,10,8,3,3,2,26,Moderate Risk,OK,Verified ✓,9,19.61,16.35,17.06,17,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,118620,NAV-verified,1.97,0.98,0.62,14.64,15.1,0.77,8,6,3,3,1,21,Moderate Risk,OK,Verified ✓,15.96,17.77,14.94,15.04,14.34,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,118540,NAV-verified,2.11,0.95,0.63,14.16,15,0.78,8,6,3,4,1,22,Moderate Risk,OK,Verified ✓,6.54,17.36,15.64,14.61,14.09,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,141808,NAV-verified,-1.1,0.99,0.4,15.13,12.05,0.46,4,4,3,3,1,15,Moderately High Risk,OK,Verified ✓,10,13.92,11.75,11.93,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,119060,NAV-verified,4.18,0.89,0.79,13.43,16.66,0.93,10,8,4,4,2,28,Low Risk,OK,Verified ✓,8.22,19.51,18.82,15.19,15.34,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,151078,NAV-verified,3.13,1.01,0.66,15.68,16.45,0.77,10,8,3,3,1,25,Moderate Risk,OK,Verified ✓,13.91,19.38,14.6,14.43,14.77,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,120592,NAV-verified,1.65,0.89,0.6,13.41,14.07,0.76,8,6,4,4,1,23,Moderate Risk,OK,Verified ✓,9.8,16.53,14.05,14.04,14.53,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
