Fund Name,Scheme Code,ISIN,Plan,Category,VR ID,"Mean Return
(%)","Std Dev
(%)",Sharpe,Sortino,Beta,Alpha,"No. of
Stocks","Top 10
Holdings %","Top 5
Stocks %","Top 3
Sectors %","P/B
Ratio","P/E
Ratio","No. of
Securities","Mac Dur
(yrs)","Avg Mat
(yrs)","YTM
(%)","Avg Credit
Rating","YTM
Score","Mac Dur
Score","Avg Mat
Score","Credit
Score","StdDev
Score","Sharpe
Score","Sortino
Score","Return
Score","Stocks
Score","Top10
Score","Top5
Score","Sector
Score","P/E
Score","P/B
Score","Securities
Score","Debt
Total","Risk
Total","Divers.
Total","Valuation
Total","Breadth
Total","TOTAL
SCORE","RISK
LABEL",Verification Status,Note,Fund 1Y,Fund 3Y,Fund 5Y,Bench 1Y,Bench 3Y,Bench 5Y
ABSL Aggressive Hybrid Omni FoF Dir*,132185,INF084M01ET2,Direct,Aggressive Hybrid,16932,11.11,9.33,0.54,0.61,,,,,,,,,9,,,,AAA,,,,3,1.5,1.5,1.5,2,,,,,,,0.5,3,6.5,,,0.5,10,High Risk,OK,Verified ✓,7.45,13.07,11.1,10,14.97,13.03
ABSL Equity Hybrid '95 Dir,120517,INF209K01ZC0,Direct,Aggressive Hybrid,15692,11.84,10.97,0.53,0.63,,,81,34.7,22.07,46.47,3.68,26.45,166,4.06,5.67,7.82,AAA,2.5,1.5,2,3,1.5,1.5,1.5,2,2.5,2,2,1.5,1.25,1.25,1.75,9,6.5,8,2.5,1.75,27.75,Low Risk,OK,Verified ✓,9.25,13.77,10.76,10,14.97,13.03
ABSL Retirement 40s Dir,146930,INF209KB1I80,Direct,Aggressive Hybrid,39185,13,11.18,0.62,0.78,,,52,39.86,25.78,45.29,3.37,23.84,57,4.17,8.35,6.76,GOI/Cash,2,1.5,1,3,1.5,1.5,1.5,2.5,1.5,2,2,1.5,1.5,1.5,1,7.5,7,7,3,1,25.5,Moderate Risk,OK,Verified ✓,11.52,15.03,10.34,10,14.97,13.03
Axis Aggressive Hybrid Dir,144394,INF846K01E25,Direct,Aggressive Hybrid,37134,10.98,10.86,0.46,0.61,,,84,36.97,24.18,39.79,3.32,22.86,115,4.16,8.5,7.74,AA,2.5,1.5,1,2.5,1.5,1,1.5,2,2.5,2,2,2,1.5,1.5,1.5,7.5,6,8.5,3,1.5,26.5,Moderate Risk,OK,Verified ✓,8.38,12.43,10.06,10,14.97,13.03
Axis Children's Dir,135762,INF846K01WO1,Direct,Aggressive Hybrid,31507,9.92,10.56,0.37,0.47,,,88,41.78,27.78,39.39,3.24,22.46,106,4.17,5.29,7.03,AAA,2.5,1.5,2,3,1.5,1,1,1.5,2.5,1.5,2,2,1.5,1.5,1.5,9,5,8,3,1.5,26.5,Moderate Risk,OK,Verified ✓,7.59,11.24,9.2,10,14.97,13.03
Axis Retirement-Aggressive Plan Dir,147825,INF846K01S86,Direct,Aggressive Hybrid,40429,12.66,11.81,0.56,0.69,,,85,43.72,27.42,42.14,3.43,23.59,93,6.24,11.31,6.63,GOI/Cash,2,1,1,3,1.5,1.5,1.5,2.5,2.5,1.5,2,1.5,1.5,1.5,1.25,7,7,7.5,3,1.25,25.75,Moderate Risk,OK,Verified ✓,5.71,14.56,9.23,10,14.97,13.03
Bandhan Aggressive Hybrid Dir,140382,INF194KA1U56,Direct,Aggressive Hybrid,33270,14.67,12.02,0.72,0.83,,,79,35.92,23.48,42.32,3.43,24.37,97,2.05,3.18,6.95,AAA,2,2,2.5,3,1,1.5,1.5,2.5,2,2,2,1.5,1.5,1.5,1.25,9.5,6.5,7.5,3,1.25,27.75,Low Risk,OK,Verified ✓,15.69,17.06,14.18,10,14.97,13.03
Bandhan Aggressive Hybrid Passive FoF Dir,118485,INF194K012B6,Direct,Aggressive Hybrid,16468,12.68,10.73,0.62,0.7,,,,,,,,,3,,,,GOI/Cash,,,,3,1.5,1.5,1.5,2.5,,,,,,,0.5,3,7,,,0.5,10.5,High Risk,OK,Verified ✓,12.94,15.46,12.04,10,14.97,13.03
Bandhan Retirement Dir,152102,INF194KB1GU2,Direct,Aggressive Hybrid,43791,,,,,,,56,59.06,44.49,38.41,3.14,21.09,65,10.11,23.05,7.06,GOI/Cash,2.5,1,1,3,,,,,1.5,1,1,2,1.75,1.5,1.25,7.5,,5.5,3.25,1.25,17.5,Moderately High Risk,OK,Verified ✓,7.96,N/A,N/A,10,N/A,N/A
Bank of India Mid & Small Cap Eqt & Debt Dir,139527,INF761K01DM6,Direct,Aggressive Hybrid,32609,17.87,14.8,0.8,0.99,,,65,23.46,13.13,47.11,3.72,29.2,93,1.57,1.91,6.53,AAA,2,2.5,3,3,1,2,1.5,3,2,2.5,2.5,1.5,1.25,1.25,1.25,10.5,7.5,8.5,2.5,1.25,30.25,Low Risk,OK,Verified ✓,17.45,20.43,17.71,10,14.97,13.03
Baroda BNP Paribas Aggressive Hybrid Dir,150260,INF251K01OZ7,Direct,Aggressive Hybrid,33836,13.04,10.5,0.67,0.79,,,55,34.6,23.56,45.43,3.65,26.33,87,3.08,4.68,6.87,AAA,2,1.5,2,3,1.5,1.5,1.5,2.5,1.5,2,2,1.5,1.25,1.25,1.25,8.5,7,7,2.5,1.25,26.25,Moderate Risk,OK,Verified ✓,9.79,15.07,13.27,10,14.97,13.03
Baroda BNP Paribas Retirement Dir,152628,INF251K01TJ0,Direct,Aggressive Hybrid,44295,,,,,,,52,39.67,29.59,48.32,4.2,30.68,61,10.11,29.25,7.11,AAA,2.5,1,1,3,,,,,1.5,2,1.5,1.5,1,1.25,1.25,7.5,,6.5,2.25,1.25,17.5,Moderately High Risk,OK,Verified ✓,11.48,N/A,N/A,10,N/A,N/A
Canara Robeco Equity Hybrid Dir,118272,INF760K01EZ8,Direct,Aggressive Hybrid,16384,12.15,10.81,0.57,0.69,,,66,28.84,17.78,45.71,3.55,23.08,131,2.18,3.93,6.66,AAA,2,2,2.5,3,1.5,1.5,1.5,2.5,2,2.5,2.5,1.5,1.5,1.25,1.5,9.5,7,8.5,2.75,1.5,29.25,Low Risk,OK,Verified ✓,10.17,14.23,12.08,10,14.97,13.03
DSP Aggressive Hybrid Dir,119019,INF740K01NY4,Direct,Aggressive Hybrid,15793,13.55,10.94,0.69,0.89,,,44,,,,,18.75,88,5.88,13.66,7.2,AAA,2.5,1,1,3,1.5,1.5,1.5,2.5,1.5,,,,1.75,,1.25,7.5,7,1.5,1.75,1.25,19,Moderately High Risk,OK,Verified ✓,4.9,15.56,12.11,10,14.97,13.03
Edelweiss Aggressive Hybrid Dir,118624,INF754K01CE0,Direct,Aggressive Hybrid,17354,14.94,11.05,0.81,0.98,,,87,34.24,21.66,43.48,3.3,22.1,102,1.07,1.15,6.35,AAA,1.5,2.5,3,3,1.5,2,1.5,2.5,2.5,2,2,1.5,1.5,1.5,1.5,10,7.5,8,3,1.5,30,Low Risk,OK,Verified ✓,10.39,17.29,16.15,10,14.97,13.03
Edelweiss Nifty LargeMidcap250 Plus 8-13 Yr G-Sec 70:30 Index Dir,149340,INF754K01NM0,Direct,Aggressive Hybrid,45923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,NOT_FOUND,Neither code 149340 nor ISIN INF754K01NM0 confirmed in NAV,N/A,N/A,N/A,N/A,N/A,N/A
Franklin India Aggressive Hybrid Dir,118546,INF090I01FZ1,Direct,Aggressive Hybrid,16020,12.79,11.45,0.58,0.72,,,49,38.11,22.67,43.13,3.72,26.58,73,3.99,6.91,7.39,AAA,2.5,1.5,1.5,3,1.5,1.5,1.5,2.5,1.5,2,2,1.5,1.25,1.25,1.25,8.5,7,7,2.5,1.25,26.25,Moderate Risk,OK,Verified ✓,6.79,14.45,12.53,10,14.97,13.03
Groww Aggressive Hybrid Dir,145599,INF666M01FA3,Direct,Aggressive Hybrid,38328,10.18,11.02,0.38,0.45,,,39,47.71,31.25,50.72,3.51,21.29,42,0,0,5.69,GOI/Cash,1,3,3,3,1.5,1,1,2,1,1.5,1.5,1,1.75,1.25,1,10,5.5,5,3,1,24.5,Moderate Risk,OK,Verified ✓,7.53,11.98,10.59,10,14.97,13.03
HDFC Children's Dir,100900,INF179KC1IY8,Direct,Aggressive Hybrid,15995,10.85,10.69,0.45,0.58,,,45,38.74,24.59,45.11,3.05,19.07,98,4.89,7.31,6.72,AAA,2,1.5,1.5,3,1.5,1,1.5,2,1.5,2,2,1.5,1.75,1.5,1.25,8,6,7,3.25,1.25,25.5,Moderate Risk,OK,Verified ✓,5.27,12.2,13.36,10,14.97,13.03
