Fund Name,Plan,Category,VR ID,Scheme Code,ISIN,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Alpha Score (/12),Sharpee Score(/12),Std Dev Score(/6),Beta Score(/6),Sortino Score(/4),Total Score(/40),Risk Category,Yield to Maturity (%),Macaulay Duration (yrs),Average Maturity (yrs),Avg Credit Rating,Fund 1Y,Fund 3Y,Fund 5Y,Bench 1Y,Bench 3Y,Bench 5Y
ABSL Business Cycle Dir,Direct,Solution: Retirement - Equity,41814,149295,INF209KB14D2,-0.26,0.95,0.47,14.15,12.64,0.6,68,33.12%,20.42%,58.72%,3.47,25.59,4,4,3,4,1,16,Moderately High Risk,N/A,N/A,N/A,N/A,2.28,N/A,N/A,2.49,N/A,N/A
Axis Business Cycles Dir,Direct,Solution: Retirement - Equity,43124,151368,INF846K016N4,1.64,1,0.59,14.95,14.86,0.66,76,29.16%,16.83%,56.61%,3.37,28.56,8,6,3,3,1,21,Moderate Risk,N/A,N/A,N/A,N/A,3.83,7.68,5.85,3.04,7.23,5.6
Bandhan Business Cycle Dir,Direct,Solution: Retirement - Equity,44520,152878,INF194KB1IQ6,--,--,--,--,--,--,89,34.34%,20.37%,61.14%,2.6,20.57,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,2.03,6.74,4.7,3.04,7.23,5.6
Bank of India Business Cycle Dir,Direct,Solution: Retirement - Equity,44474,152789,INF761K01GF3,--,--,--,--,--,--,54,38.45%,22.62%,54.78%,3.64,24.47,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,3.52,7.41,5.96,3.04,7.23,5.6
Baroda BNP Paribas Business Cycle Dir,Direct,Solution: Retirement - Equity,41671,149141,INF955L01KK1,1.29,1.01,0.57,15.17,14.61,0.69,58,37.47%,25.06%,54.13%,3.81,27.01,6,6,3,3,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,2.15,6.9,N/A,2.49,6.93,N/A
DSP Business Cycle Fund Dir,Direct,Solution: Retirement - Equity,44760,153121,INF740KA1UX7,--,--,--,--,--,--,50,41.43%,24.90%,55.69%,3.6,26.12,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,2.89,7.16,5.88,3.04,7.23,5.6
Edelweiss Business Cycle Dir,Direct,Solution: Retirement - Equity,44394,152710,INF754K01TA2,--,--,--,--,--,--,71,28.98%,16.18%,66.31%,2.84,18.57,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,2.24,6.92,4.85,2.49,6.93,5.27
HDFC Business Cycle Dir,Direct,Solution: Retirement - Equity,42727,150805,INF179KC1DY9,-1.42,0.92,0.38,13.82,11.22,0.45,59,45.10%,28.22%,54.90%,3.41,28.75,4,4,4,4,1,17,Moderately High Risk,N/A,N/A,N/A,N/A,2.92,7.17,N/A,3.04,7.23,N/A
HSBC Business Cycles Dir,Direct,Solution: Retirement - Equity,27583,151142,INF917K01RI2,2.02,1.15,0.56,18.48,16.33,0.73,70,32.07%,20.33%,73.34%,2.8,21.55,8,6,2,2,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,1.98,N/A,N/A,2.49,N/A,N/A
ICICI Pru Business Cycle Dir,Direct,Solution: Retirement - Equity,41245,148651,INF109KC1P24,6.24,0.91,0.92,13.89,18.83,1.11,77,49.99%,33.89%,63.82%,2.94,22.43,12,10,4,4,2,32,Low Risk,N/A,N/A,N/A,N/A,26.02,16.67,9.49,10.42,15.47,13.24
