Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
360 ONE Gold ETF,commodity,Commodities: Gold,INF579M01BB5,153357,Direct,42.34,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44993/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ABSL Gold ETF,commodity,Commodities: Gold,INF209K01YU5,120546,Direct,43.4,32.93,23.4,Domestic Prices of Gold,47.23,34.53,24.8,-0.51,0.98,1.28,19.58,30.77,,,,,1,https://www.valueresearchonline.com/funds/12631/,4,10,5,5,N/A,24,Low Risk
ABSL Gold Dir,commodity,Commodities: Gold,INF209K01YU5,120546,Direct,42.8,32.82,23.02,Domestic Prices of Gold,47.23,34.53,24.8,-0.42,0.97,1.28,19.52,30.71,,,,,1,https://www.valueresearchonline.com/funds/15842/,4,10,5,5,N/A,24,Low Risk
Angel One Gold ETF FoF Dir,commodity,Commodities: Gold,INF1J2R01098,153829,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45470/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Gold ETF Reg,commodity,Commodities: Gold,INF1J2R01114,153826,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45466/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Gold and Silver Passive FoF Dir,commodity,Commodities: Gold,INF846KA1408,154078,Direct,,,,Commodities: Gold & Silver,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45710/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Gold ETF,commodity,Commodities: Gold,INF846K01W80,113434,Direct,43.04,32.92,23.4,Domestic Prices of Gold,47.23,34.53,24.8,-0.44,0.97,1.27,19.64,30.76,,,,,1,https://www.valueresearchonline.com/funds/11669/,4,10,5,5,N/A,24,Low Risk
Axis Gold Dir,commodity,Commodities: Gold,INF846KA1408,154078,Direct,41.91,32.36,22.94,Domestic Prices of Gold,47.23,34.53,24.8,2.17,0.84,1.39,17.42,30.01,,,,,1,https://www.valueresearchonline.com/funds/15686/,8,10,5,2,N/A,25,Low Risk
Bandhan Gold ETF,commodity,Commodities: Gold,INF194KB1KJ7,153930,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45672/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Gold ETF FoF Dir,commodity,Commodities: Gold,INF194KB1KL3,153876,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45732/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Baroda BNP Paribas Gold ETF,commodity,Commodities: Gold,INF251K01SU9,152231,Direct,42.75,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43930/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Baroda BNP Paribas Gold ETF FoF Dir,commodity,Commodities: Gold,INF251K01VF4,153795,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45422/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Choice Gold ETF,commodity,Commodities: Gold,INF2KCX01012,153933,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45571/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Gold ETF,commodity,Commodities: Gold,INF740KA1SW3,151737,Direct,43.22,32.88,,Domestic Prices of Gold,47.23,34.53,,-0.47,0.97,1.28,19.5,30.71,,,,,1,https://www.valueresearchonline.com/funds/43492/,4,10,5,5,N/A,24,Low Risk
DSP Gold ETF FoF Dir,commodity,Commodities: Gold,INF740KA1TK6,152183,Direct,42.25,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43856/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Gold and Silver ETF FoF Dir,commodity,Commodities: Gold,INF754K01OX5,152197,Direct,73.71,39.97,,Commodities: Gold & Silver,65.97,38.12,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/42500/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Gold ETF,commodity,Commodities: Gold,INF754K01SE6,152193,Direct,42.85,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43879/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Gold ETF FoF Dir,commodity,Commodities: Gold,INF754K01WP4,152195,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45830/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Gold ETF,commodity,Commodities: Gold,INF666M01OE7,152957,Direct,42.64,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44631/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Gold ETF FOF Dir,commodity,Commodities: Gold,INF666M01IX9,152959,Direct,40.87,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44662/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC Gold ETF,commodity,Commodities: Gold,INF179KC1981,113049,Direct,43.14,32.61,23.33,Domestic Prices of Gold,47.23,34.53,24.8,-0.75,0.98,1.26,19.61,30.52,,,,,1,https://www.valueresearchonline.com/funds/11314/,4,10,5,5,N/A,24,Low Risk
HDFC Gold ETF Fund of Fund Dir,commodity,Commodities: Gold,INF179K01VX0,119132,Direct,42.24,32.67,23,Domestic Prices of Gold,47.23,34.53,24.8,0.98,0.9,1.34,18.33,30.37,,,,,1,https://www.valueresearchonline.com/funds/16053/,6,10,5,4,N/A,25,Low Risk
HSBC Gold ETF,commodity,Commodities: Gold,INF336L01RX2,154294,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45919/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
