Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
360 ONE Gold ETF,commodity,Commodities: Gold,Direct,43.97,,,Domestic Prices of Gold*,INF579M01BB5,153357,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44993/
ABSL Gold ETF,commodity,Commodities: Gold,Direct,44.87,36.23,25.64,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.43,0.98,1.39,2.38,19.86,33.28,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/12631/
ABSL Gold Dir,commodity,Commodities: Gold,Direct,44.32,35.91,25.28,Domestic Prices of Gold*,INF209K01YU5,120546,45.49,37.14,26.64,-0.54,0.97,1.38,2.35,19.82,33.04,4,3,10,3,2,2,22,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/15842/
Angel One Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF1J2R01098,153827,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45470/
Angel One Gold ETF Reg,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45466/
Axis Gold and Silver Passive FoF Dir,commodity,Commodities: Gold,Direct,,,,Commodities: Gold & Silver*,INF846KA1408,154078,,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45710/
Axis Gold ETF,commodity,Commodities: Gold,Direct,44.38,36.03,25.61,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.4,0.97,1.38,2.43,19.92,33.24,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11669/
Axis Gold Dir,commodity,Commodities: Gold,Direct,43.8,35.62,25.35,Domestic Prices of Gold*,,,45.49,37.14,26.64,2.36,0.85,1.51,2.19,17.68,32.33,8,5,12,3,2,4,30,Low Risk,Good,1,https://www.valueresearchonline.com/funds/15686/
Bandhan Gold ETF,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF194KB1KL3,154129,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45672/
Bandhan Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF194KB1KL3,154129,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45732/
Baroda BNP Paribas Gold ETF,commodity,Commodities: Gold,Direct,44.28,,,Domestic Prices of Gold*,INF251K01VF4,153795,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43930/
Baroda BNP Paribas Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,42.63,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45422/
Choice Gold ETF,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF2KCX01012,153933,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45571/
DSP Gold ETF,commodity,Commodities: Gold,Direct,44.68,36.1,,Domestic Prices of Gold*,INF740KA1TK6,152183,45.49,37.14,,-0.44,0.97,1.39,2.37,19.79,33.18,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43492/
DSP Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,44.38,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/43856/
Edelweiss Gold and Silver ETF FoF Dir,commodity,Commodities: Gold,Direct,67.53,41.25,,Commodities: Gold & Silver*,INF754K01OX5,150581,65.21,40.99,,,,,2.18,,,,,,3,,,3,High Risk,Poor,2,https://www.valueresearchonline.com/funds/42500/
Edelweiss Gold ETF,commodity,Commodities: Gold,Direct,44.31,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/43879/
Edelweiss Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF754K01OX5,150581,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45830/
Groww Gold ETF,commodity,Commodities: Gold,Direct,44.06,,,Domestic Prices of Gold*,INF666M01IX9,152980,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44631/
Groww Gold ETF FOF Dir,commodity,Commodities: Gold,Direct,42.58,,,Domestic Prices of Gold*,INF666M01IX9,152980,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/44662/
HDFC Gold ETF,commodity,Commodities: Gold,Direct,44.64,35.99,25.57,Domestic Prices of Gold*,INF179K01VX0,119132,45.49,37.14,26.64,-0.45,0.98,1.39,2.39,19.88,33.25,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11314/
HDFC Gold ETF Fund of Fund Dir,commodity,Commodities: Gold,Direct,44.3,35.9,25.44,Domestic Prices of Gold*,INF179K01VX0,119132,45.49,37.14,26.64,1.14,0.91,1.46,2.31,18.64,32.85,6,4,10,3,2,3,25,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/16053/
HSBC Gold ETF,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45919/
HSBC Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45929/
ICICI Pru Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,44.48,36.1,25.47,Domestic Prices of Gold*,INF109K01U92,120685,45.49,37.14,26.64,-0.04,0.95,1.41,2.35,19.44,33.02,4,4,10,3,2,3,23,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/15858/
