Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,INF579M01AN2,151165,Direct,-5.08,8.67,,BSE 500 TRI,-1.52,12.67,,-2.95,0.86,0.24,13.62,9.08,,,,,25,https://www.valueresearchonline.com/funds/42908/,2,2,4,4,N/A,12,Moderately High Risk
ABSL ELSS Tax Saver Dir,equity,equity,INF209K01UN8,119544,Direct,0.73,13.32,9.8,BSE 500 TRI,-1.52,12.67,12.33,0.91,0.94,0.53,14.5,13.46,,,,,25,https://www.valueresearchonline.com/funds/15889/,6,2,3,4,N/A,15,Moderately High Risk
Axis ELSS Tax Saver Dir,equity,equity,INF846K01EW2,120503,Direct,-1.72,11.16,8.24,BSE 500 TRI,-1.52,12.67,12.33,-0.81,0.9,0.39,14.56,11.48,,,,,25,https://www.valueresearchonline.com/funds/15688/,4,2,3,4,N/A,13,Moderately High Risk
Bajaj Finserv ELSS Tax Saver Dir,equity,equity,INF0QA701AK0,153201,Direct,2.82,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44856/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan ELSS Tax Saver Dir,equity,equity,INF194K01Y29,118473,Direct,0.88,12.44,13.59,BSE 500 TRI,-1.52,12.67,12.33,0.38,0.89,0.49,13.87,12.62,,,,,25,https://www.valueresearchonline.com/funds/16493/,6,2,4,4,N/A,16,Moderately High Risk
Bank of Ind Midcap Tax 2 Dir,equity,equity,INF955L01JF3,152898,Direct,0.49,15.06,12.49,BSE 500 TRI,-1.52,12.67,12.33,1.81,1.13,0.54,18.49,15.78,,,,,25,https://www.valueresearchonline.com/funds/36922/,8,2,2,2,N/A,14,Moderately High Risk
Bank of India ELSS Tax Saver Fund Dir,equity,equity,INF761K01884,119351,Direct,2.51,16.14,14.06,BSE 500 TRI,-1.52,12.67,12.33,2.88,1.08,0.6,17.9,16.49,,,,,25,https://www.valueresearchonline.com/funds/16803/,8,4,2,2,N/A,16,Moderately High Risk
Bank of India Midcap Tax Sr 1 Dir,equity,equity,INF761K01DS3,141950,Direct,5.12,16.15,13.83,BSE 500 TRI,-1.52,12.67,12.33,2.79,1.15,0.58,19.13,16.89,,,,,25,https://www.valueresearchonline.com/funds/34774/,8,2,2,2,N/A,14,Moderately High Risk
Baroda BNP Paribas ELSS Tax Saver Dir,equity,equity,INF251K01HF3,150159,Direct,3.64,16.85,14.2,BSE 500 TRI,-1.52,12.67,12.33,4.02,0.96,0.72,15.26,16.73,,,,,25,https://www.valueresearchonline.com/funds/15732/,10,4,3,3,N/A,20,Moderate Risk
Canara Robeco ELSS Tax Saver Dir,equity,equity,INF760K01EL8,118285,Direct,0.81,13.36,12.65,BSE 500 TRI,-1.52,12.67,12.33,0.89,0.94,0.53,14.57,13.49,,,,,25,https://www.valueresearchonline.com/funds/16594/,6,2,3,4,N/A,15,Moderately High Risk
