Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Direct,-2.49,7.91,,BSE 500 TRI*,INF579M01AN2,151165,2.44,11.32,,-2.4,0.86,0.26,0.34,13.51,9.25,50,52.6,36.67,62.95,,20.66,3.16,2,4,2,0,4,1,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/42908/
ABSL ELSS Tax Saver Dir,equity,equity,Direct,2.61,12.13,8.74,BSE 500 TRI*,INF209K01UN8,119544,2.44,11.32,10.45,0.94,0.94,0.51,0.69,14.43,13.11,63,40.17,25.03,60.47,,24.74,3.54,6,4,2,0,3,2,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/15889/
Axis ELSS Tax Saver Dir,equity,equity,Direct,2.46,12.1,6.35,BSE 500 TRI*,INF846K01EW2,120503,2.44,11.32,10.45,1.33,0.91,0.52,0.69,14.53,13.29,67,38.24,25.17,57.26,,29.09,4.32,6,4,2,0,3,1,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/15688/
Bajaj Finserv ELSS Tax Saver Dir,equity,equity,Direct,7.67,,,BSE 500 TRI*,INF0QA701AK0,153201,2.44,,,,,,,,,46,42.76,27.35,57.84,,25.7,3.14,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44856/
Bandhan ELSS Tax Saver Dir,equity,equity,Direct,4.13,10.21,12.33,BSE 500 TRI*,INF194K01Y29,118473,2.44,11.32,10.45,-0.52,0.89,0.41,0.53,13.66,11.31,58,43.45,29.85,57.67,,23.21,2.92,4,4,2,0,4,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16493/
Bank of Ind Midcap Tax 2 Dir,equity,equity,Direct,9.42,14.93,11.56,BSE 500 TRI*,INF955L01JF3,154679,2.44,11.32,10.45,2.77,1.14,0.57,0.82,18.54,16.33,51,39.18,22.84,54.79,,29.26,3.85,8,2,2,0,2,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/36922/
Bank of India ELSS Tax Saver Fund Dir,equity,equity,Direct,7.11,13.51,11.76,BSE 500 TRI*,INF761K01884,119351,2.44,11.32,10.45,2.05,1.07,0.53,0.76,17.7,15.13,53,32.76,19.57,56.35,,21.29,2.99,8,2,2,0,2,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16803/
Bank of India Midcap Tax Sr 1 Dir,equity,equity,Direct,13.03,15.75,12.46,BSE 500 TRI*,INF761K01DS3,141950,2.44,11.32,10.45,3.63,1.15,0.6,0.85,19.26,17.28,51,34.59,19.59,61.91,,31.22,4.55,10,2,4,0,2,,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/34774/
Baroda BNP Paribas ELSS Tax Saver Dir,equity,equity,Direct,7.62,16.13,12.66,BSE 500 TRI*,INF251K01HF3,150159,2.44,11.32,10.45,4.92,0.96,0.76,0.99,15.25,17.26,54,30.31,16.94,61.95,,30.06,4.01,10,3,4,0,3,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/15732/
Canara Robeco ELSS Tax Saver Dir,equity,equity,Direct,3.57,12.48,10.47,BSE 500 TRI*,INF760K01EL8,118285,2.44,11.32,10.45,1.41,0.94,0.55,0.69,14.49,13.62,74,38.88,24.48,58.21,,26.49,3.84,6,4,2,0,3,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16594/
