Fund Name,Category,Subcategory,Company Name,Sector,P/E Ratio,% of Assets
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,HDFC Bank,Financial,13.91,10.22
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,ICICI Bank,Financial,18.21,9.16
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Reliance Ind,Energy & Utilities,23.94,7.89
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bharti Airtel,Technology,39.76,5.28
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Larsen & Toubro,Industrials,32.89,4.12
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,SBI,Financial,10.89,3.8
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Infosys,Technology,15.14,3.54
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Axis Bank,Financial,14.27,3.15
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bajaj Finance,Financial,32.52,2.73
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Mahindra & Mahindra,Consumer Discretionary,21.34,2.71
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Kotak Bank,Financial,20.82,2.57
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,ITC,Consumer Staples,16.68,2.42
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Tata Consultancy,Technology,16.72,2.16
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Eternal,Technology,719.88,1.94
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Sun Pharmaceutical,Healthcare,37.67,1.88
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Titan,Consumer Discretionary,77.22,1.8
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Hindustan Unilever,Consumer Staples,31.01,1.66
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Maruti Suzuki,Consumer Discretionary,27.86,1.66
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,NTPC,Energy & Utilities,11.62,1.47
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Tata Steel,Materials,21.38,1.4
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Shriram Finance,Financial,21.64,1.31
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,HCL Technologies,Technology,20.15,1.27
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Hindalco Ind,Materials,13.89,1.26
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Ultratech Cement,Materials,39.16,1.26
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bharat Electronics,Industrials,48.19,1.24
ABSL ELSS Tax Saver Dir,equity,equity,ICICI Bank,Financial,18.21,7.59
ABSL ELSS Tax Saver Dir,equity,equity,HDFC Bank,Financial,13.91,6.15
ABSL ELSS Tax Saver Dir,equity,equity,Infosys,Technology,15.14,3.92
ABSL ELSS Tax Saver Dir,equity,equity,Reliance Ind,Energy & Utilities,23.94,3.8
ABSL ELSS Tax Saver Dir,equity,equity,Axis Bank,Financial,14.27,3.57
ABSL ELSS Tax Saver Dir,equity,equity,SBI,Financial,10.89,3.4
ABSL ELSS Tax Saver Dir,equity,equity,The Federal Bank,Financial,18.11,3
ABSL ELSS Tax Saver Dir,equity,equity,Mahindra & Mahindra,Consumer Discretionary,21.34,2.93
ABSL ELSS Tax Saver Dir,equity,equity,Bharti Airtel,Technology,39.76,2.91
ABSL ELSS Tax Saver Dir,equity,equity,Eternal,Technology,719.88,2.9
ABSL ELSS Tax Saver Dir,equity,equity,Tech Mahindra,Technology,30.38,2.59
ABSL ELSS Tax Saver Dir,equity,equity,TVS Holdings,Consumer Discretionary,13.75,2.21
ABSL ELSS Tax Saver Dir,equity,equity,Hindalco Ind,Materials,13.89,2.21
ABSL ELSS Tax Saver Dir,equity,equity,Cummins India,Industrials,59.02,2.03
ABSL ELSS Tax Saver Dir,equity,equity,Bajaj Finance,Financial,32.52,2
ABSL ELSS Tax Saver Dir,equity,equity,Fortis Healthcare,Healthcare,65.56,1.93
ABSL ELSS Tax Saver Dir,equity,equity,Larsen & Toubro,Industrials,32.89,1.91
ABSL ELSS Tax Saver Dir,equity,equity,Varun Beverages,Consumer Staples,41.16,1.82
ABSL ELSS Tax Saver Dir,equity,equity,Godrej Consumer,Consumer Staples,47.06,1.81
ABSL ELSS Tax Saver Dir,equity,equity,Emcure Pharmaceuticals,Healthcare,36.17,1.8
ABSL ELSS Tax Saver Dir,equity,equity,Cholamandalam Inv,Financial,27.31,1.7
ABSL ELSS Tax Saver Dir,equity,equity,Ambuja Cements,Materials,23.02,1.64
ABSL ELSS Tax Saver Dir,equity,equity,CAMS,Financial,37.55,1.64
ABSL ELSS Tax Saver Dir,equity,equity,Titan,Consumer Discretionary,77.22,1.57
ABSL ELSS Tax Saver Dir,equity,equity,Adani Power,Energy & Utilities,28,1.52
Axis ELSS Tax Saver Dir,equity,equity,ICICI Bank,Financial,18.21,7.39
Axis ELSS Tax Saver Dir,equity,equity,HDFC Bank,Financial,13.91,5.87
Axis ELSS Tax Saver Dir,equity,equity,Bharti Airtel,Technology,39.76,4.64
Axis ELSS Tax Saver Dir,equity,equity,Bajaj Finance,Financial,32.52,4.11
Axis ELSS Tax Saver Dir,equity,equity,Eternal,Technology,719.88,3.16
Axis ELSS Tax Saver Dir,equity,equity,Larsen & Toubro,Industrials,32.89,2.83
Axis ELSS Tax Saver Dir,equity,equity,Mahindra & Mahindra,Consumer Discretionary,21.34,2.79
Axis ELSS Tax Saver Dir,equity,equity,Pidilite Ind,Materials,62.63,2.61
Axis ELSS Tax Saver Dir,equity,equity,Cholamandalam Inv,Financial,27.31,2.43
Axis ELSS Tax Saver Dir,equity,equity,SBI,Financial,10.89,2.4
