Fund Name,Category,Subcategory,Company Name,Sector,P/E Ratio,% of Assets,ISIN,Scheme Code
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,HDFC Bank,Financial,16.13,10.51,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,ICICI Bank,Financial,18.37,8.28,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Reliance Ind,Energy & Utilities,22.09,8.23,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bharti Airtel,Technology,42.24,5.05,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Larsen & Toubro,Industrials,36.1,4.41,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Infosys,Technology,14.35,3.75,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,SBI,Financial,11.58,3.69,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Axis Bank,Financial,16.23,3.4,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Kotak Bank,Financial,21.09,2.61,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,ITC,Consumer Staples,17.57,2.55,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Mahindra & Mahindra,Consumer Discretionary,23.14,2.51,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bajaj Finance,Financial,32.08,2.24,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Tata Consultancy,Technology,15.41,2.13,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Hindustan Unilever,Consumer Staples,33.95,1.76,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Sun Pharmaceutical,Healthcare,38.92,1.76,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,NTPC,Energy & Utilities,12.62,1.69,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Eternal,Technology,673.02,1.66,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Tata Steel,Materials,21.82,1.59,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Maruti Suzuki,Consumer Discretionary,29.43,1.58,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Titan,Consumer Discretionary,75.07,1.55,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Hindalco Ind,Materials,15.99,1.5,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Bharat Electronics,Industrials,49.05,1.36,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Ultratech Cement,Materials,41.48,1.25,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Shriram Finance,Financial,24.22,1.22,INF579M01AN2,151165
360 ONE ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Adani Ports,Industrials,32.32,1.22,INF579M01AN2,151165
ABSL ELSS Tax Saver Dir,equity,equity,ICICI Bank,Financial,18.37,6.83,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,HDFC Bank,Financial,16.13,6.3,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Infosys,Technology,14.35,4.14,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Axis Bank,Financial,16.23,4.07,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Reliance Ind,Energy & Utilities,22.09,3.95,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,SBI,Financial,11.58,3.72,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Adani Ports,Industrials,32.32,3.16,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Bharti Airtel,Technology,42.24,2.77,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Hindalco Ind,Materials,15.99,2.63,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Mahindra & Mahindra,Consumer Discretionary,23.14,2.53,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,The Federal Bank,Financial,18.41,2.49,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Cummins India,Industrials,66.24,2.47,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Tech Mahindra,Technology,29.27,2.4,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Eternal,Technology,673.02,2.29,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Sun Pharmaceutical,Healthcare,38.92,2.16,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Varun Beverages,Consumer Staples,53.95,2.16,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,TVS Holdings,Consumer Discretionary,16.14,2.1,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Larsen & Toubro,Industrials,36.1,2.04,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Fortis Healthcare,Healthcare,69.15,1.95,INF209K01UN8,119544
ABSL ELSS Tax Saver Dir,equity,equity,Adani Power,Energy & Utilities,34.45,1.8,INF209K01UN8,119544
