Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score(3),Maturity Score(3),YTM Score(3),Credit Score(3),Debt Quality(12),StdDev Score(3),Sharpe Score(3),Sortino Score(3),MeanRet Score(3),Risk&Return(12),NumStocks Score(2.5),Top10 Score(2.5),Top5 Score(2.5),Top3Sec Score(2.5),Diversification(10),PE Score(2),PB Score(2),Valuation(4),NumSec Score(2),PortBreadth(2),Total Score(40),Risk Category,Fund Rating
ABSL Aggressive Hybrid Omni FoF Dir*,hybrid,Aggressive Hybrid,Direct,2.85,12.77,10.93,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.62,9.99,12.1,,,AAA,,10,https://www.valueresearchonline.com/funds/16932/,INF084M01ET2,132185,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
ABSL Equity Hybrid '95 Dir,hybrid,Aggressive Hybrid,Direct,0.06,12.06,9.87,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.51,11.31,11.63,8.07,4.23,AAA,6.58,50,https://www.valueresearchonline.com/funds/15692/,INF209K01ZC0,120517,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
ABSL Retirement 40s Dir,hybrid,Aggressive Hybrid,Direct,2.39,13.72,10.11,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.68,11.72,13.85,6.46,3.91,GOI/Cash,7.66,30,https://www.valueresearchonline.com/funds/39185/,INF084M01EJ3,132182,2,2,1,3,8,2,1,1,2,6,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
Axis Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,1.07,10.83,9.12,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,1.08,0.42,11.19,10.57,8.13,2.34,AA,3.03,50,https://www.valueresearchonline.com/funds/37134/,INF846K01E25,144394,2,1,3,2,8,1,1,1,1,4,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Axis Children's Dir,hybrid,Aggressive Hybrid,Direct,0.68,9.99,8.49,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.34,10.91,9.6,7.5,4.27,AAA,5.35,44,https://www.valueresearchonline.com/funds/31507/,INF846K01EY8,120521,2,2,2,3,9,2,1,1,2,6,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,28,Low Risk,Good
Axis Retirement-Aggressive Plan Dir,hybrid,Aggressive Hybrid,Direct,-1.18,12.49,8.94,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.53,12.19,12.34,7.11,6.55,AAA,11.9,33,https://www.valueresearchonline.com/funds/40429/,INF846K01G52,140646,1,1,2,3,7,1,1,1,2,5,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Bandhan Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,8.08,16.17,13.18,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.76,12.61,15.46,7.5,2.48,AAA,3.7,42,https://www.valueresearchonline.com/funds/33270/,INF194KA1U56,140382,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Bandhan Aggressive Hybrid Passive FoF Dir,hybrid,Aggressive Hybrid,Direct,8.48,14.58,11.72,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,,0.75,11.98,14.87,,,GOI/Cash,,3,https://www.valueresearchonline.com/funds/16468/,INF194K01Z51,118480,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
Bandhan Retirement Dir,hybrid,Aggressive Hybrid,Direct,1.77,,,Hybrid: Aggressive Hybrid,2.6,,,,,,,,7.08,8.59,GOI/Cash,20.2,26,https://www.valueresearchonline.com/funds/43791/,INF194KB1JG6,152700,1,1,2,3,7,1,1,1,1,4,2,1.5,1,2,6.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Bank of India Mid & Small Cap Eqt & Debt Dir,hybrid,Aggressive Hybrid,Direct,10.23,20.88,16.83,Hybrid: Aggressive Hybrid,2.6,13.84,12.23,,1.13,0.91,16.08,20.52,7.22,1.76,AAA,2.15,50,https://www.valueresearchonline.com/funds/32609/,INF761K01DM6,139527,2,2,2,3,9,1,2,1,3,7,2,2.5,2.5,1.5,8.5,1.5,1.5,3,1.5,1.5,29,Low Risk,Good
