Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),Mean Return Score,YTM Score,Duration Score,Credit Score,Maturity Score,Stocks Score,Top 10 Score,Top 5 Score,Top 3 Sectors Score,P/E Score,P/B Score,Securities Score,Score (/40),VR Stars,Risk Category,Fund Rating,Top Holdings Count,Fund URL
ABSL Aggressive Hybrid Omni FoF Dir*,hybrid,Hybrid,Direct,5.62,11.32,10.27,Hybrid: Aggressive Hybrid,INF084M01ET2,132185,4.75,12.04,10.84,,,0.61,0.74,9.96,11.77,,,AAA,,,,,,10,,,1,1,1,1,,,3,,,,,,,,0,7,,High Risk,Poor,10,https://www.valueresearchonline.com/funds/16932/
ABSL Equity Hybrid '95 Dir,hybrid,Hybrid,Direct,3.25,10.61,8.54,Hybrid: Aggressive Hybrid,INF209K01ZC0,120517,4.75,12.04,10.84,,,0.5,0.62,11.23,11.26,7.71,4.11,AAA,6.66,78,,20.98,44.65,166,27.13,3.53,1,1,0,1,2,1,3,1,2,,2,2,1.5,1,2,20.5,2,Moderate Risk,Poor,50,https://www.valueresearchonline.com/funds/15692/
ABSL Retirement 40s Dir,hybrid,Hybrid,Direct,5.54,12.15,9.74,Hybrid: Aggressive Hybrid,INF209KB1I80,146930,4.75,12.04,10.84,,,0.61,0.76,11.18,12.55,,,GOI/Cash,,57,,23.18,46.53,62,22.94,3.2,1,1,0,2,,,3,,2,,2,1,1.5,1.5,1,16,3,Moderately High Risk,Average,30,https://www.valueresearchonline.com/funds/39185/
Axis Aggressive Hybrid Dir,hybrid,Hybrid,Direct,3.9,10.21,7.34,Hybrid: Aggressive Hybrid,INF846K01E25,144394,4.75,12.04,10.84,,,0.47,0.63,11.1,10.9,7.78,2.11,AA,2.8,94,,19.94,42.51,126,25.57,3.5,1,1,0,1,2,2,2,2,2.5,,2.5,2,1.5,1.5,1.5,22.5,1,Moderate Risk,Poor,50,https://www.valueresearchonline.com/funds/37134/
Axis Children's Dir,hybrid,Hybrid,Direct,3.41,9.29,6.89,Hybrid: Aggressive Hybrid,INF846K01CR6,120438,4.75,12.04,10.84,,,0.41,0.53,10.88,10.13,7.11,4.05,AAA,5.11,94,,26.5,41.44,114,25.93,3.55,1,1,0,1,2,1,3,1,2.5,,2,2,1.5,1,1.5,20.5,1,Moderate Risk,Poor,45,https://www.valueresearchonline.com/funds/31507/
Axis Retirement-Aggressive Plan Dir,hybrid,Hybrid,Direct,2.41,12.15,7.66,Hybrid: Aggressive Hybrid,INF846K01S86,147825,4.75,12.04,10.84,,,0.57,0.74,12.15,12.67,6.96,5.79,AAA,10.3,86,,26.04,42.6,96,26.09,3.57,1,1,0,2,1,0,3,0,2.5,,2,2,1.5,1,1.5,18.5,2,Moderately High Risk,Poor,34,https://www.valueresearchonline.com/funds/40429/
Bandhan Aggressive Hybrid Dir,hybrid,Hybrid,Direct,9.77,14.95,12.01,Hybrid: Aggressive Hybrid,INF194KA1U56,140382,4.75,12.04,10.84,,,0.77,0.93,12.56,15.36,5.12,2.48,AAA,4.26,83,,23.74,44.59,101,25.41,3.61,1,1,0,2,0,2,3,2,2.5,,2,2,1.5,1,1.5,21.5,4,Moderate Risk,Good,43,https://www.valueresearchonline.com/funds/33270/
Bandhan Aggressive Hybrid Passive FoF Dir,hybrid,Hybrid,Direct,10.72,13.56,10.69,Hybrid: Aggressive Hybrid,INF194K012B6,118485,4.75,12.04,10.84,,,0.71,0.89,11.88,14.12,,,GOI/Cash,,,,,,3,,,1,1,0,2,,,3,,,,,,,,0,7,4,High Risk,Good,3,https://www.valueresearchonline.com/funds/16468/
Bandhan Retirement Dir,hybrid,Hybrid,Direct,1.96,,,Hybrid: Aggressive Hybrid,INF194KB1GU2,152102,4.75,,,,,,,,,7.02,8.81,GOI/Cash,19.94,54,,41.01,38.97,59,23.21,3.3,,,,,2,0,3,0,2,,0,2,1.5,1.5,1,13,,Moderately High Risk,Average,26,https://www.valueresearchonline.com/funds/43791/
Bank of India Mid & Small Cap Eqt & Debt Dir,hybrid,Hybrid,Direct,16.6,17.67,15.3,Hybrid: Aggressive Hybrid,INF761K01DM6,139527,4.75,12.04,10.84,,,0.8,1.09,15.82,18.33,6.63,1.01,AAA,1.19,62,,10.76,42.25,104,32.5,4.4,1,1,0,3,1,2,3,3,2,,2.5,2,1,1,1.5,24,5,Moderate Risk,Excellent,50,https://www.valueresearchonline.com/funds/32609/
Baroda BNP Paribas Aggressive Hybrid Dir,hybrid,Hybrid,Direct,3.58,12.04,10.65,Hybrid: Aggressive Hybrid,INF251K01OZ7,150260,4.75,12.04,10.84,,,0.62,0.77,11,12.56,7.05,2.43,AAA,3.98,57,,22.45,46.13,91,26.85,3.47,1,1,0,2,2,2,3,2,2,,2,1,1.5,1.5,1.5,22.5,3,Moderate Risk,Average,50,https://www.valueresearchonline.com/funds/33836/
Baroda BNP Paribas Retirement Dir,hybrid,Hybrid,Direct,6.83,,,Hybrid: Aggressive Hybrid,INF251K01TJ0,152628,4.75,,,,,,,,,7.39,10.45,AAA,,52,,30.28,47.57,59,29.36,3.92,,,,,2,0,3,,2,,1,1,1,1,1,12,,High Risk,Poor,31,https://www.valueresearchonline.com/funds/44295/
Canara Robeco Equity Hybrid Dir,hybrid,Hybrid,Direct,4.17,11.44,9.69,Hybrid: Aggressive Hybrid,INF760K01EZ8,118272,4.75,12.04,10.84,,,0.57,0.73,11.28,12.17,6.78,1.23,AAA,2.22,73,,17.82,49.61,133,22.71,3.42,1,1,0,2,1,2,3,2,2,,2.5,1,1.5,1.5,1.5,22,3,Moderate Risk,Average,50,https://www.valueresearchonline.com/funds/16384/
DSP Aggressive Hybrid Dir,hybrid,Hybrid,Direct,-0.93,10.19,8.94,Hybrid: Aggressive Hybrid,INF740K01NY4,119019,4.75,12.04,10.84,,,0.48,0.67,11.07,10.97,2.24,1.86,AAA,4.42,41,,27.5,48.58,87,19.48,2.83,1,1,0,1,0,2,3,2,1,,2,1,2,1.5,1.5,19,3,Moderately High Risk,Average,50,https://www.valueresearchonline.com/funds/15793/
Edelweiss Aggressive Hybrid Dir,hybrid,Hybrid,Direct,5.1,14.14,13.79,Hybrid: Aggressive Hybrid,INF754K01CE0,118624,4.75,12.04,10.84,,,0.78,0.98,11.39,14.55,6.36,0.68,AAA,0.73,98,,16.57,39.38,116,23.87,3.51,1,1,0,2,0,3,3,3,2.5,,2.5,2,1.5,1,1.5,24,5,Moderate Risk,Excellent,41,https://www.valueresearchonline.com/funds/17354/
