Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Alpha Score(4),Sharpe Score(4),Sortino Score(4),RiskAdj Perf(12),StdDev Score(4),MeanRet Score(4),Beta Score(2),Vol & Return(10),NumStocks Score(2),Top10 Score(2),Top5 Score(2),Top3Sec Score(2),Diversification(8),PE Score(3),PB Score(3),Valuation(6),YTM Score(1),Duration Score(1),Maturity Score(1),Credit Score(1),Debt Quality(4),Total Score(40),Risk Category,Fund Rating
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.64,14.1,,BSE 500 TRI,0.79,13.68,,0.29,0.95,0.53,14.9,13.79,,,,,25,https://www.valueresearchonline.com/funds/41814/,INF209KB14D2,149295,,,,,,,2,2,1,5,2,3,1,6,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,19.5,Moderately High Risk,Average
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,1.88,15.46,,BSE 500 TRI,0.79,13.68,,1.83,1.01,0.62,15.91,15.78,,,,,25,https://www.valueresearchonline.com/funds/43124/,INF846K016N4,151368,,,,,,,2,2,1,5,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,18.5,Moderately High Risk,Average
Bandhan Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.29,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44520/,INF194KB1IQ6,152878,,,,,,,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6.0,2,2,4,0,0,0,0,0,16.0,Moderately High Risk,Average
Bank of India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.69,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44474/,INF761K01GF3,152789,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6.0,1.5,1.5,3.0,0,0,0,0,0,15.0,Moderately High Risk,Average
Baroda BNP Paribas Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.55,16.04,,BSE 500 TRI,0.79,13.68,,2.12,1.02,0.64,16.11,16.18,,,,,25,https://www.valueresearchonline.com/funds/41671/,INF955L01KK1,149141,,,,,,,3,2,1,6,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,19.5,Moderately High Risk,Average
DSP Business Cycle Fund Dir,solution-oriented,Solution: Retirement - Equity,Direct,4.94,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44760/,INF740KA1UX7,153121,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1,1,4.5,1.5,1,2.5,0,0,0,0,0,13.0,Moderately High Risk,Average
Edelweiss Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.15,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44394/,INF754K01TA2,152710,,,,,,,1,1,1,3,1,1,1,3,1.5,2,2,1,6.5,2,2,4,0,0,0,0,0,16.5,Moderately High Risk,Average
HDFC Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.39,12.98,,BSE 500 TRI,0.79,13.68,,-1.13,0.95,0.43,15.09,12.34,,,,,25,https://www.valueresearchonline.com/funds/42727/,INF179KC1DY9,150805,,,,,,,1,1,1,3,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,16.5,Moderately High Risk,Average
HSBC Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.47,18.57,17.11,BSE 500 TRI,0.79,13.68,12.33,2.85,1.22,0.62,20.43,18.44,,,,,25,https://www.valueresearchonline.com/funds/27583/,INF917K01RI2,151142,,,,,,,3,2,1,6,1,4,1,6,1.5,1.5,1.5,1,5.5,2,2,4,0,0,0,0,0,21.5,Moderate Risk,Average
ICICI Pru Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.74,20.07,18.05,BSE 500 TRI,0.79,13.68,12.33,6.2,0.9,0.93,14.49,19.29,,,,,25,https://www.valueresearchonline.com/funds/41245/,INF109KC1P24,148651,,,,,,,4,2,1,7,2,4,1,7,1.5,1,1,1,4.5,1.5,2,3.5,0,0,0,0,0,22.0,Moderate Risk,Average
