Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,11.75,13.94,,BSE 500 TRI,INF209KB14D2,149295,2.44,11.32,,2.9,0.95,0.64,0.85,14.89,15.16,,,,,59,28.51,16.04,53.18,,25.73,4.01,8,4,4,0,3,,19,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41814/
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,7.86,14.19,,BSE 500 TRI,INF846K016N4,151368,2.44,11.32,,2.74,1.01,0.62,0.75,15.8,15.43,,,,,77,29.4,16.91,58.63,,31.42,3.48,8,3,4,0,3,,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/43124/
Bandhan Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,1.36,,,BSE 500 TRI,INF194KB1IQ6,152878,2.44,,,,,,,,,,,,,92,37.76,22.08,64.95,,21.41,2.59,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44520/
Bank of India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,8.46,,,BSE 500 TRI,INF761K01GF3,152789,2.44,,,,,,,,,,,,,51,36.79,22.49,55.23,,28.95,4.33,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44474/
Baroda BNP Paribas Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,6.63,14.34,,BSE 500 TRI,INF955L01KK1,149141,2.44,11.32,,2.89,1.02,0.63,0.78,15.82,15.59,,,,,56,38.05,24.75,54.85,,29.54,4.07,8,3,4,0,3,,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41671/
DSP Business Cycle Fund Dir,solution-oriented,Solution: Retirement - Equity,Direct,4.89,,,BSE 500 TRI,INF740KA1UX7,153121,2.44,,,,,,,,,,,,,46,49.03,32.95,59.85,,22.89,3,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44760/
Edelweiss Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,7.08,,,BSE 500 TRI,INF754K01TA2,152710,2.44,,,,,,,,,,,,,66,28.84,16.82,60.65,,27.57,4.06,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44394/
HDFC Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,5.67,12.66,,BSE 500 TRI,INF179KC1DY9,150805,2.44,11.32,,1.22,0.95,0.51,0.68,15.15,13.48,,,,,60,39.64,24.95,57.25,,32.89,3.98,6,4,2,0,3,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42727/
HSBC Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,5.08,16.65,15.94,BSE 500 TRI,INF917K01RI2,151142,2.44,11.32,10.45,4.29,1.21,0.62,0.91,20.33,18.33,,,,,72,28.86,17.42,77.51,,30.42,3.66,10,0,4,0,2,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/27583/
ICICI Pru Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,1.12,16.08,16.2,BSE 500 TRI,INF109KC1P24,148651,2.44,11.32,10.45,4.96,0.89,0.79,1,14.07,16.78,,,,,81,47.28,31.82,64.09,,25.04,3.34,10,4,4,2,3,,23,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/41245/
Invesco India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,16.03,,,BSE 500 TRI,INF205KA1AI8,153291,2.44,,,,,,,,,,,,,36,43.89,24.66,61.32,,38.64,4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44930/
ITI Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,,,,BSE 500 TRI,INF00XX01AE2,148913,,,,,,,,,,,,,,74,24.16,15.67,63.09,,27.92,3.55,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45807/
