Fund Name,Category,Subcategory,Company Name,Sector,P/E Ratio,% of Assets
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,ICICI Bank,Financial,18.26,4.22
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,The Federal Bank,Financial,17.96,3.57
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Birlasoft,Technology,13.76,2.82
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,R R Kabel,Industrials,44.58,2.75
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Zensar Tech,Technology,13.33,2.68
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,SJS Enterprises,Consumer Discretionary,36.04,2.55
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Karur Vysya Bank,Financial,12.14,2.53
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Muthoot Finance,Financial,10.23,2.5
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Shaily Eng Plastics,Materials,87.28,2.49
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,TVS Motor,Consumer Discretionary,57.07,2.41
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Craftsman Automation,Consumer Discretionary,62.57,2.32
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Torrent Pharma,Healthcare,85.46,2.29
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Thyrocare Tech,Healthcare,52.09,2.27
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Mastek,Technology,12.83,2.24
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Sai Life Sciences,Healthcare,92.72,2.13
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Vedanta Aluminium Metal,Materials,,2.11
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Ajanta Pharma,Healthcare,38.65,2.1
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,FSN E-Commerce,Consumer Discretionary,378.82,2.05
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Narayana Hrud,Healthcare,47.95,2.02
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Shivalik Bimetal,Industrials,61.33,1.97
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Jindal Steel,Materials,42.49,1.95
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,JSW Steel,Materials,12.91,1.84
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Fortis Healthcare,Healthcare,64.79,1.79
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,CG Power,Industrials,113.03,1.76
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Ather Energy,Consumer Discretionary,,1.76
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Larsen & Toubro,Industrials,33.16,3.81
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,ICICI Bank,Financial,18.26,3.74
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Axis Bank,Financial,14.21,3.46
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,HDFC Bank,Financial,13.86,3.18
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Mahindra & Mahindra,Consumer Discretionary,21.36,2.71
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Bharti Airtel,Technology,39.62,2.66
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Grasim,Materials,39.56,2.59
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Bajaj Finance,Financial,32.48,2.54
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,IndusInd Bank,Financial,59.65,2.38
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Kotak Bank,Financial,20.73,2.32
