Fund Name,Category,Subcategory,ISIN,Scheme Code,Company Name,Sector,P/E Ratio,% of Assets
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,ICICI Bank,Financial,18.37,3.94
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,SBI,Financial,11.58,3.67
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,The Federal Bank,Financial,18.41,3.06
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Muthoot Finance,Financial,11.47,2.85
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Jindal Steel,Materials,32.08,2.28
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Karur Vysya Bank,Financial,11.17,2.27
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,R R Kabel,Industrials,57.24,2.18
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,SJS Enterprises,Consumer Discretionary,40.14,2.14
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Bharat Forge,Consumer Discretionary,94.99,2.04
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Shivalik Bimetal,Industrials,45.3,1.96
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Ajanta Pharma,Healthcare,37.6,1.89
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Lenskart Solutions,Consumer Discretionary,179.05,1.87
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Sona BLW Precision,Consumer Discretionary,60.18,1.71
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,FSN E-Commerce,Consumer Discretionary,432.72,1.71
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Marico,Consumer Staples,60.84,1.71
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Sai Life Sciences,Healthcare,74.33,1.69
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Maharashtra Bank,Financial,9.73,1.69
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Happy Forgings,Materials,47.15,1.65
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Adani Power,Energy & Utilities,34.45,1.62
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,AIA Engineering,Industrials,35.54,1.59
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Shriram Finance,Financial,24.22,1.55
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,JK Cement,Materials,43.41,1.54
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Narayana Hrud,Healthcare,49.68,1.54
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,Thyrocare Tech,Healthcare,50.39,1.53
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,INF209KB14D2,149295,The Phoenix Mills,Real Estate,55.6,1.52
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Larsen & Toubro,Industrials,36.1,4.08
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Axis Bank,Financial,16.23,3.54
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,ICICI Bank,Financial,18.37,3.38
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,HDFC Bank,Financial,16.13,3.08
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Grasim,Materials,42.84,2.7
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Kotak Bank,Financial,21.09,2.62
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Mahindra & Mahindra,Consumer Discretionary,23.14,2.51
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Bharti Airtel,Technology,42.24,2.35
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Eternal,Technology,673.02,2.34
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,BSE,Financial,63.25,2.27
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,INF846K016N4,151368,Reliance Ind,Energy & Utilities,22.09,2.27
