Category,Mutual Fund,Scheme Name,Regular Plan - Growth,Regular Plan - IDCW
Equity,360 ONE,360 ONE Focused Fund,134421,134422
Equity,360 ONE,360 ONE Flexicap Fund,179374,179375
Equity,360 ONE,360 ONE Quant Fund,162985,162986
Equity,360 ONE,360 ONE ELSS Tax Saver Nifty 50 Index Fund,185672,185673
Hybrid,360 ONE,360 ONE Balanced Hybrid Fund,186359,186360
Hybrid,360 ONE,360 ONE Multi Asset Allocation Fund,188806,188807
Debt,360 ONE,360 ONE Dynamic Bond Fund,134419,134420
Debt,360 ONE,360 ONE Liquid Fund,134413,134414
Debt,360 ONE,360 ONE Overnight Fund,187211,187212
ETF,360 ONE,360 ONE Gold ETF,187208,187208
ETF,360 ONE,360 ONE Silver ETF,187209,187209
Equity,Aditya Birla Sun Life,Aditya Birla Sun Life Frontline Equity Fund,103174,103173
Equity,Aditya Birla Sun Life,Aditya Birla Sun Life Flexi Cap Fund,102554,102555
Equity,Aditya Birla Sun Life,Aditya Birla Sun Life Small Cap Fund,106362,106363
Equity,Aditya Birla Sun Life,Aditya Birla Sun Life Mid Cap Fund,102604,102605
Equity,Aditya Birla Sun Life,Aditya Birla Sun Life Focused Fund,103233,103234
Hybrid,Aditya Birla Sun Life,Aditya Birla Sun Life Balanced Advantage Fund,101662,101663
Hybrid,Aditya Birla Sun Life,Aditya Birla Sun Life Equity Hybrid '95 Fund,100143,100144
Debt,Aditya Birla Sun Life,Aditya Birla Sun Life Liquid Fund,100067,100068 (Daily)
Debt,Aditya Birla Sun Life,Aditya Birla Sun Life Corporate Bond Fund,103178,103179
Debt,Aditya Birla Sun Life,Aditya Birla Sun Life Savings Fund,100057,100058
ETF,Aditya Birla Sun Life,Aditya Birla Sun Life Gold ETF,115127,N/A
ETF,Aditya Birla Sun Life,Aditya Birla Sun Life Silver ETF,149262,N/A
ETF,Aditya Birla Sun Life,Aditya Birla Sun Life Nifty 50 ETF,119643,N/A
ETF,Aditya Birla Sun Life,Aditya Birla Sun Life Sensex ETF,139581,N/A
Equity,Angel One,Angel One Nifty 50 Index Fund,153530,N/A
Equity,Angel One,Angel One Nifty Total Market Index Fund,153331,N/A
Hybrid,Angel One,Angel One Gold ETF FoF,153828,N/A
Equity,Axis,Axis Bluechip Fund,112277,112278
Equity,Axis,Axis Midcap Fund,113177,113178
Equity,Axis,Axis Small Cap Fund,125350,125351
Equity,Axis,Axis ELSS Tax Saver Fund,112323,112324
Equity,Axis,Axis Flexi Cap Fund,141797,141806
Equity,Axis,Axis Focused Fund,117563,117564
Equity,Axis,Axis Growth Opportunities Fund,145039,145040
Debt,Axis,Axis Liquid Fund,112210,112212 (Weekly)
Debt,Axis,Axis Treasury Advantage Fund,112205,112207 (Monthly)
ETF,Axis,Axis Gold ETF,113016,N/A
ETF,Axis,Axis Nifty 50 ETF,136452,N/A
Equity,Bajaj Finserv,Bajaj Finserv Flexi Cap Fund,151898,151899
Equity,Bajaj Finserv,Bajaj Finserv Large and Mid Cap Fund,152409*,N/A
Equity,Bajaj Finserv,Bajaj Finserv Small Cap Fund,153611*,N/A
Equity,Bajaj Finserv,Bajaj Finserv ELSS Tax Saver Fund,153202,153200
Hybrid,Bajaj Finserv,Bajaj Finserv Balanced Advantage Fund,152196,152197
Hybrid,Bajaj Finserv,Bajaj Finserv Multi Asset Allocation Fund,152642,152640
Hybrid,Bajaj Finserv,Bajaj Finserv Arbitrage Fund,152078,152079
Debt,Bajaj Finserv,Bajaj Finserv Liquid Fund,151837,"151839 (Daily)

151842 (Monthly)"
Debt,Bajaj Finserv,Bajaj Finserv Overnight Fund,151847,151852 (Daily)
Debt,Bajaj Finserv,Bajaj Finserv Banking & PSU Fund,152165,152166
Equity,Bandhan,Bandhan Sterling Value Fund,109234,109235
Equity,Bandhan,Bandhan Flexi Cap Fund,102526,102527
Equity,Bandhan,Bandhan ELSS Tax Saver Fund,108668,108669
Equity,Bandhan,Bandhan Core Equity Fund,102517,102518
Equity,Bandhan,Bandhan Nifty 50 Index Fund,111860,111861
Hybrid,Bandhan,Bandhan Multi Asset Allocation Fund,152822*,152823
Hybrid,Bandhan,Bandhan Arbitrage Fund,101132,101133
Debt,Bandhan,Bandhan Liquid Fund,100417,100418 (Monthly)
Debt,Bandhan,Bandhan Corporate Bond Fund,135650,135651
Debt,Bandhan,Bandhan Banking & PSU Fund,118635,118636
Equity,Bank of India,Bank of India Flexi Cap Fund,148405,148407
Equity,Bank of India,Bank of India Small Cap Fund,145677,145676
Equity,Bank of India,Bank of India Bluechip Fund,148982,148983
Equity,Bank of India,Bank of India ELSS Tax Saver Fund,109987,109988
Equity,Bank of India,Bank of India Manufacturing & Infrastructure Fund,113543,113544
Equity,Bank of India,Bank of India Multi Cap Fund,151442,151443
Hybrid,Bank of India,Bank of India Mid & Small Cap Equity & Debt Fund,139526,139528
Hybrid,Bank of India,Bank of India Conservative Hybrid Fund,111715,111716
Hybrid,Bank of India,Bank of India Arbitrage Fund,143613,143615
Hybrid,Bank of India,Bank of India Balanced Advantage Fund,127849,127851
Debt,Bank of India,Bank of India Liquid Fund,108649,108650
Debt,Bank of India,Bank of India Short Term Income Fund,109995,109996
Equity,Baroda BNP Paribas,Baroda BNP Paribas Large Cap Fund,100373,100374
Equity,Baroda BNP Paribas,Baroda BNP Paribas Multi Cap Fund,100635,100636
Equity,Baroda BNP Paribas,Baroda BNP Paribas Mid Cap Fund,103853,103854
Equity,Baroda BNP Paribas,Baroda BNP Paribas Small Cap Fund,152126,152127
Equity,Baroda BNP Paribas,Baroda BNP Paribas ELSS Tax Saver Fund,100375,100376
Equity,Baroda BNP Paribas,Baroda BNP Paribas Focused Fund,141875,141876
Hybrid,Baroda BNP Paribas,Baroda BNP Paribas Balanced Advantage Fund,145387,145389
Hybrid,Baroda BNP Paribas,Baroda BNP Paribas Aggressive Hybrid Fund,140230,140231
Debt,Baroda BNP Paribas,Baroda BNP Paribas Liquid Fund,100628,"100629 (Daily)

100630 (Weekly)"
Debt,Baroda BNP Paribas,Baroda BNP Paribas Banking & PSU Fund,147868,147869
Equity,Canara Robeco,Canara Robeco Bluechip Equity Fund,113221,113222
Equity,Canara Robeco,Canara Robeco Flexi Cap Fund,102936,102937
Equity,Canara Robeco,Canara Robeco Small Cap Fund,146127,146128
Equity,Canara Robeco,Canara Robeco Large & Mid Cap Fund (Emerging Equities),102920,102921
Equity,Canara Robeco,Canara Robeco ELSS Tax Saver Fund,102941,102942
Equity,Canara Robeco,Canara Robeco Consumer Trends Fund,112005,112006
Equity,Canara Robeco,Canara Robeco Infrastructure Fund,102926,102927
Hybrid,Canara Robeco,Canara Robeco Equity Hybrid Fund,102947,102948
Hybrid,Canara Robeco,Canara Robeco Conservative Hybrid Fund,133276,133277
Debt,Canara Robeco,Canara Robeco Liquid Fund,102957,102958
Equity,Canara Robeco,Canara Robeco Multi Cap Fund,151824*,151825
Equity,Canara Robeco,Canara Robeco Manufacturing Fund,152450*,N/A
Equity,DSP,DSP Flexi Cap Fund,105875,100080
Equity,DSP,DSP Midcap Fund,104481,104482
Equity,DSP,DSP Small Cap Fund,105156,105157
Equity,DSP,DSP ELSS Tax Saver Fund,104772,104773
Equity,DSP,DSP Top 100 Equity Fund,101635,101636
Equity,DSP,DSP Focused Fund,110283,113032
Equity,DSP,DSP Natural Resources & New Energy Fund,108202,108203
Equity,DSP,DSP Quant Fund,146269,146270
