S.No.,PMS Name,PMS AIF World URL,Status
1,2POINT2 Long Term Value,https://www.pmsaifworld.com/portfolio/2point2-long-term-value/,VERIFIED
2,360 ONE ASSET Multicap Advantage PMS,https://www.pmsaifworld.com/portfolio/360-one-asset-multicap-advantage-pms/,VERIFIED
3,360 ONE ASSET Phoenix PMS,https://www.pmsaifworld.com/portfolio/360-one-asset-phoenix-pms-portfolio/,VERIFIED
4,360 ONE Equity Multicap PMS,https://www.pmsaifworld.com/portfolio/360-one-equity-multicap/,VERIFIED
5,Abakkus All Cap Approach PMS,https://www.pmsaifworld.com/portfolio/abakkus-all-cap-growth-portfolio/,CORRECTED
6,Abakkus Diversified Alpha Approach PMS,https://www.pmsaifworld.com/portfolio/abakkus-diversified-alpha-approach-pms/,VERIFIED
7,Abakkus Emerging Opportunities PMS,https://www.pmsaifworld.com/portfolio/abakkus-emerging-opportunities-portfolio/,CORRECTED
8,ABANS PMS,https://www.pmsaifworld.com/portfolio/abans-pms/,VERIFIED
9,ABANS Smart Beta Portfolio,https://www.pmsaifworld.com/portfolio/abans-smart-beta-portfolio/,VERIFIED
10,ABM Core & Satellite Portfolio,https://www.pmsaifworld.com/portfolio/abm-core-satellite-portfolio/,VERIFIED
11,ABM India Consumption Portfolio,https://www.pmsaifworld.com/portfolio/abm-india-consumption-portfolio/,VERIFIED
12,AccuraCap Alpha10 Portfolio,https://www.pmsaifworld.com/portfolio/accuracap-alpha10/,VERIFIED
13,Accuracap Alphagen PMS,https://www.pmsaifworld.com/portfolio/accuracap-alphagen-pms/,VERIFIED
14,Accuracap Picopower PMS Portfolio,https://www.pmsaifworld.com/portfolio/accuracap-picopower/,CORRECTED
15,AcePro Advisors Pvt. Ltd,https://www.pmsaifworld.com/partner/acepro-advisors-pvt-ltd/,CORRECTED
16,AcePro Galaxy Strategy PMS,https://www.pmsaifworld.com/portfolio/acepro-galaxy-strategy-pms/,VERIFIED
17,AcePro Large Cap Strategy PMS,https://www.pmsaifworld.com/portfolio/acepro-large-cap-strategy-pms/,VERIFIED
18,Aditya Birla Core Equity Portfolio,https://www.pmsaifworld.com/portfolio/aditya-birla-core-equity-portfolio/,VERIFIED
19,Aditya Birla India Special Opportunities Portfolio,https://www.pmsaifworld.com/portfolio/aditya-birla-india-special-opportunities-portfolio/,VERIFIED
20,Aditya Birla Innovation Portfolio,https://www.pmsaifworld.com/portfolio/aditya-birla-innovation-portfolio/,VERIFIED
21,Aditya Birla Select Sector Portfolio,https://www.pmsaifworld.com/portfolio/aditya-birla-select-sector-portfolio/,VERIFIED
22,Aditya Birla Sun Life AMC – Real Estate Investment Advisory,https://www.pmsaifworld.com/portfolio/aditya-birla-sun-life-amc-real-estate-investment-advisory/,VERIFIED
23,Aditya Birla Sun Life Global Bluechip Equity Fund (IFSC),https://www.pmsaifworld.com/portfolio/aditya-birla-sun-life-global-bluechip-equity-fund-ifsc/,VERIFIED
24,Aditya Birla Top 200 Core Equity Portfolio,https://www.pmsaifworld.com/portfolio/aditya-birla-top-200-core-equity-portfolio,VERIFIED
25,Aequitas India Opportunities,https://www.pmsaifworld.com/portfolio/aequitas-india-opportunities-pms/,CORRECTED
26,Agreya Multi-Asset Enhancer Strategy,https://www.pmsaifworld.com/portfolio/agreya-multi-asset-enhancer-strategy/,VERIFIED
27,Agreya Return Enhancers / Optimizer,https://www.pmsaifworld.com/portfolio/agreya-return-enhancers-optimizer/,VERIFIED
28,Alchemy Alpha 100 PMS,https://www.pmsaifworld.com/portfolio/alchemy-alpha-100-pms/,VERIFIED
29,Alchemy Alpha Small Cap PMS,https://www.pmsaifworld.com/portfolio/alchemy-alpha-small-cap-pms/,VERIFIED
30,Alchemy Ascent PMS,https://www.pmsaifworld.com/portfolio/alchemy-ascent-fund/,CORRECTED
31,Alchemy High Growth PMS,https://www.pmsaifworld.com/portfolio/alchemy-high-growth-pms/,VERIFIED
32,Alchemy Select Stock PMS,https://www.pmsaifworld.com/portfolio/alchemy-select-stock-pms/,VERIFIED
33,GLOBE CAPITAL Value Portfolio PMS,https://www.pmsaifworld.com/portfolio/globe-capital-value-portfolio-pms/,VERIFIED
34,Green Lantern Capital Alpha PMS,https://www.pmsaifworld.com/portfolio/green-lantern-capital-alpha-pms/,VERIFIED
35,Green Lantern Capital Growth Fund,https://www.pmsaifworld.com/portfolio/green-lantern-capital-growth-fund/,VERIFIED
36,Green Lantern Capital Growth PMS,https://www.pmsaifworld.com/portfolio/green-lantern-capital-growth-pms/,VERIFIED
37,Green Portfolio – The Green Ethical Fund,https://www.pmsaifworld.com/portfolio/green-portfolio-the-green-ethical-fund/,VERIFIED
38,Green Portfolio Dividend Yield Fund PMS,https://www.pmsaifworld.com/portfolio/green-portfolio-dividend-yield-fund-pms/,VERIFIED
39,Green Portfolio IMPACT ESG Fund,https://www.pmsaifworld.com/portfolio/green-portfolio-impact-esg-fund/,VERIFIED
40,Green Portfolio Index PMS,https://www.pmsaifworld.com/portfolio/green-portfolio-index-pms/,VERIFIED
41,Green Portfolio MNC Advantage,https://www.pmsaifworld.com/portfolio/green-portfolio-mnc-advantage/,VERIFIED
42,Green Portfolio Special PMS,https://www.pmsaifworld.com/portfolio/green-portfolio-special-pms/,VERIFIED
43,GREEN PORTFOLIO SUPER 30 PMS,https://www.pmsaifworld.com/portfolio/green-portfolio-super-30-pms/,VERIFIED
44,Grey Sky Capital Smart Core Portfolio PMS,https://www.pmsaifworld.com/portfolio/grey-sky-capital-smart-core-portfolio-pms/,VERIFIED
45,Grey Sky Capital Smart Treasury Strategy PMS,https://www.pmsaifworld.com/portfolio/grey-sky-capital-smart-treasury-strategy-pms/,VERIFIED
46,Helios India Rising PMS,https://www.pmsaifworld.com/portfolio/helios-india-rising-pms/,VERIFIED
47,Hem Securities – Dream PMS Strategy,https://www.pmsaifworld.com/portfolio/hem-securities-dream-pms-strategy/,VERIFIED
48,ICICI Prudential Alpha Opportunities Fund,https://www.pmsaifworld.com/portfolio/icici-prudential-alpha-opportunities-fund/,VERIFIED
49,ICICI Prudential Contra Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-contra-strategy/,VERIFIED
50,ICICI Prudential PMS Core Strategies PMS,https://www.pmsaifworld.com/portfolio/icici-prudential-pms/,CORRECTED
51,ICICI Prudential PMS Growth Leaders Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-pms-growth-leaders-strategy/,VERIFIED
52,ICICI Prudential PMS Large Cap Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-large-cap-strategy-pms/,CORRECTED
53,ICICI Prudential PMS PIPE Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-pms-pipe-strategy-pms/,CORRECTED
54,ICICI Prudential PMS Value Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-value-strategy-pms/,CORRECTED
55,ICICI Prudential PMS – ACE Strategy,https://www.pmsaifworld.com/portfolio/icici-prudential-pms-ace-strategy/,VERIFIED
56,IDFC Neo Equity Portfolio,https://www.pmsaifworld.com/portfolio/idfc-neo-equity-portfolio/,VERIFIED
57,InCred Healthcare PMS,https://www.pmsaifworld.com/portfolio/incred-healthcare-pms/,VERIFIED
58,InCred Healthcare Portfolio,https://www.pmsaifworld.com/portfolio/incred-healthcare-portfolio/,VERIFIED
59,InCred MultiCap PMS,https://www.pmsaifworld.com/portfolio/incred-multicap-pms/,VERIFIED
60,InCred Small & Midcap PMS,https://www.pmsaifworld.com/portfolio/incred-small-midcap-pms/,CORRECTED
61,IndiaNivesh Sprout PMS,https://www.pmsaifworld.com/portfolio/indianivesh-sprout-pms/,VERIFIED
62,Invasset Growth Fund PMS,https://www.pmsaifworld.com/portfolio/invasset-llp-growth-fund-pms/,CORRECTED
63,Invesco Caterpillar PMS,https://www.pmsaifworld.com/portfolio/invesco-caterpillar-pms/,VERIFIED
64,INVESCO India D.A.W.N,https://www.pmsaifworld.com/portfolio/invesco-dawn/,CORRECTED
65,INVESCO India R.I.S.E,http://pmsaifworld.com/portfolio/invesco-rise/,VERIFIED
66,PrimeInvestor Financial Research Private Limited – Prime Synergy PMS,https://www.pmsaifworld.com/portfolio/primeinvestor-financial-research-private-limited-prime-synergy-pms/,VERIFIED
67,PrimeInvestor Financial Research Private Limited – Prime Velocity PMS,https://www.pmsaifworld.com/portfolio/primeinvestor-financial-research-private-limited-prime-velocity-pms/,VERIFIED
68,PrimeInvestor Financial Research Private Limited – Prime Vision Balanced PMS,https://www.pmsaifworld.com/portfolio/primeinvestor-financial-research-private-limited-prime-vision-balanced-pms/,VERIFIED
69,PrimeInvestor Financial Research Private Limited – Prime Vision Growth PMS,https://www.pmsaifworld.com/portfolio/primeinvestor-financial-research-private-limited-prime-vision-growth-pms/,VERIFIED
70,PrimeInvestor Financial Research Private Limited – Prime Vision Ultra PMS,https://www.pmsaifworld.com/portfolio/primeinvestor-financial-research-private-limited-prime-vision-ultra-pms/,VERIFIED
71,Profusion Income Enhancer Low Risk Long/Short PMS,https://www.pmsaifworld.com/portfolio/profusion-income-enhancer-low-risk-long-short-pms/,CORRECTED
72,Profusion Investment Advisors LLP,https://www.pmsaifworld.com/portfolio/profusion-investment-advisors-llp/,VERIFIED
73,Prosperity Discovery Fund,https://www.pmsaifworld.com/portfolio/prosperity-wealth-management-discovery-fund-pms/,CORRECTED
74,Prudent Equity Growth Strategy PMS,https://www.pmsaifworld.com/portfolio/prudent-equity-growth-strategy-pms/,VERIFIED
75,Purnartha Investment Advisers Pvt. Ltd. Focused Equity PMS,https://www.pmsaifworld.com/portfolio/purnartha-investment-advisers-pvt-ltd-focused-equity-pms/,VERIFIED
76,Purnartha Investment Advisers Pvt. Ltd. Long Term Equity with Concentrated Portfolio,https://www.pmsaifworld.com/portfolio/purnartha-investment-advisers-pvt-ltd-long-term-equity-with-concentrated-portfolio/,VERIFIED
77,Purnartha Pratham PMS,https://www.pmsaifworld.com/portfolio/purnartha-pratham-pms/,VERIFIED
78,Purnartha Vision PMS,https://www.pmsaifworld.com/portfolio/purnartha-vision-pms/,VERIFIED
79,Purnartha’s Dynamic Midcap PMS,https://www.pmsaifworld.com/portfolio/purnarthas-dynamic-midcap-pms/,VERIFIED
80,QED Capital - AlphaBets PMS,https://www.pmsaifworld.com/portfolio/qed-capital-alphabets-pms/,VERIFIED
81,Qode Advisors LLP PMS - Qode All Weather,https://www.pmsaifworld.com/portfolio/qode-advisors-llp-pms-qode-all-weather/,VERIFIED
82,Qode Advisors LLP PMS - Qode Future Horizons,https://www.pmsaifworld.com/portfolio/qode-advisors-llp-pms-qode-future-horizons/,VERIFIED
83,Qode Advisors LLP PMS - Qode Tactical Fund,https://www.pmsaifworld.com/portfolio/qode-advisors-llp-pms-qode-tactical-fund/,VERIFIED
84,Qode Asset Management,https://www.pmsaifworld.com/portfolio/qode-asset-management/,VERIFIED
85,QRC Investment Advisors Long Term PMS,https://www.pmsaifworld.com/portfolio/qrc-investment-advisors-long-term-pms/,VERIFIED
86,Quest Investment Advisors Flagship PMS Portfolio,https://www.pmsaifworld.com/portfolio/quest-investment-advisors-flagship-pms/,CORRECTED
87,Quest Investment Advisors Multi PMS Portfolio,https://www.pmsaifworld.com/portfolio/quest-investment-advisors-multi-pms/,CORRECTED
88,Renaissance Alpha Portfolio – Multicap Fund,https://www.pmsaifworld.com/portfolio/renaissance-alpha-portfolio-multicap-fund/,VERIFIED
89,Renaissance Business Leadership Fund – Midcap Portfolio,https://www.pmsaifworld.com/portfolio/renaissance-business-leadership-fund-midcap-portfolio/,VERIFIED
90,Renaissance India Next Portfolio,https://www.pmsaifworld.com/portfolio/renaissance-india-next-portfolio/,VERIFIED
91,Renaissance India Next Portfolio – Dynamic Thematic Portfolio,https://www.pmsaifworld.com/portfolio/renaissance-india-next-portfolio-dynamic-thematic-portfolio/,VERIFIED
92,Renaissance Opportunities PMS,https://www.pmsaifworld.com/portfolio/renaissance-opportunities-pms/,VERIFIED
93,Right Horizons Alphabots India Prime Portfolio PMS,https://www.pmsaifworld.com/portfolio/right-horizons-alphabots-india-prime-portfolio-pms/,VERIFIED
94,Right Horizons Business Leaders PMS,https://www.pmsaifworld.com/portfolio/right-horizons-business-leaders-pms/,VERIFIED
95,Right Horizons Flexi Cap Scheme PMS,https://www.pmsaifworld.com/portfolio/right-horizons-flexi-cap-scheme-pms/,VERIFIED
96,Right Horizons Minerva Under Served PMS,https://www.pmsaifworld.com/portfolio/right-horizons-minerva-under-served-pms/,VERIFIED
97,Right Horizons Perennial Fund,https://www.pmsaifworld.com/portfolio/right-horizons-perennial-fund-pms/,CORRECTED
98,Right Horizons Super Value PMS,https://www.pmsaifworld.com/portfolio/right-horizons-super-value-pms/,VERIFIED
99,Roha Asset Managers - Emerging Champions,https://www.pmsaifworld.com/portfolio/roha-asset-managers-emerging-champions-pms/,CORRECTED
100,SageOne Core Portfolio PMS,https://www.pmsaifworld.com/portfolio/sageone-investment-managers-core-portfolio/,CORRECTED
101,SageOne Diversified Portfolio,https://www.pmsaifworld.com/portfolio/sageone-diversified-portfolio/,VERIFIED
102,SageOne Flagship Growth OE Fund,https://www.pmsaifworld.com/portfolio/sageone-flagship-growth-oe-fund/,VERIFIED
103,SageOne Small And Micro Cap Portfolio,https://www.pmsaifworld.com/portfolio/sageone-small-micro-cap-portfolio/,CORRECTED
104,Sameeksha India Equity Fund,https://www.pmsaifworld.com/portfolio/sameeksha-india-equity-fund/,VERIFIED
105,Samvitti Active Alpha PMS,https://www.pmsaifworld.com/portfolio/samvitti-active-alpha-pms/,VERIFIED
106,Sanctum Indian Olympians,https://www.pmsaifworld.com/portfolio/sanctum-indian-olympians/,VERIFIED
107,Sanctum Indian Titans,https://www.pmsaifworld.com/portfolio/sanctum-indian-titans/,VERIFIED
