Date,Price
20-01-2026,276.41
19-01-2026,276.48
16-01-2026,277.37
15-01-2026,275.35
14-01-2026,277.36
13-01-2026,275.71
12-01-2026,274.17
09-01-2026,270.61
08-01-2026,270.57
07-01-2026,272.7
06-01-2026,274.83
05-01-2026,271.01
02-01-2026,266.91
31-12-2025,261.05
30-12-2025,261.09
29-12-2025,260.62
26-12-2025,260.53
25-12-2025,259.5
24-12-2025,259.47
23-12-2025,258.91
22-12-2025,258.39
19-12-2025,255.82
18-12-2025,253.81
17-12-2025,254.08
16-12-2025,252.68
15-12-2025,256.83
12-12-2025,261.11
11-12-2025,257.72
10-12-2025,260.55
09-12-2025,259.02
08-12-2025,261.67
05-12-2025,261
04-12-2025,258.95
03-12-2025,258.19
02-12-2025,258.93
01-12-2025,257.84
28-11-2025,257.71
27-11-2025,258.01
26-11-2025,258.08
25-11-2025,255.88
24-11-2025,252.73
21-11-2025,249.69
20-11-2025,257.88
19-11-2025,255.18
18-11-2025,256.16
17-11-2025,261.94
14-11-2025,262.87
13-11-2025,268.6
12-11-2025,267.91
11-11-2025,266.52
10-11-2025,267.19
07-11-2025,263.6
06-11-2025,266.47
05-11-2025,262.74
04-11-2025,264.78
03-11-2025,267.19
31-10-2025,265.98
30-10-2025,269.39
29-10-2025,270.37
28-10-2025,268.51
27-10-2025,269.9
24-10-2025,265
23-10-2025,263.61
22-10-2025,263.09
21-10-2025,265.72
20-10-2025,264.31
17-10-2025,258.68
16-10-2025,264.31
15-10-2025,263.09
14-10-2025,257.61
13-10-2025,261.27
10-10-2025,265.44
09-10-2025,269.32
08-10-2025,267.93
07-10-2025,269.39
06-10-2025,268.18
03-10-2025,269.14
02-10-2025,267.77
01-10-2025,263.55
30-09-2025,262.6
29-09-2025,260.16
26-09-2025,256.87
25-09-2025,260.92
24-09-2025,262.02
23-09-2025,259.66
22-09-2025,259.35
19-09-2025,258.95
18-09-2025,260.41
17-09-2025,262
16-09-2025,259.16
15-09-2025,257.69
12-09-2025,257.7
11-09-2025,254.1
10-09-2025,253.88
09-09-2025,251.07
08-09-2025,247.43
05-09-2025,245.42
04-09-2025,241.18
03-09-2025,243.15
02-09-2025,243.6
01-09-2025,244.76
29-08-2025,241.63
28-08-2025,240.99
27-08-2025,243.69
26-08-2025,245.43
25-08-2025,246.9
22-08-2025,240.96
21-08-2025,240.19
20-08-2025,239.75
19-08-2025,243.15
18-08-2025,243.59
15-08-2025,243.21
14-08-2025,243.54
13-08-2025,244.44
12-08-2025,239.26
11-08-2025,239.09
08-08-2025,238.75
07-08-2025,240.3
06-08-2025,236.14
05-08-2025,237
04-08-2025,234.55
01-08-2025,232.78
31-07-2025,235.71
30-07-2025,237.97
29-07-2025,238.72
28-07-2025,240.11
25-07-2025,239.25
24-07-2025,241.13
23-07-2025,240.33
22-07-2025,236.11
21-07-2025,236.53
18-07-2025,235.95
17-07-2025,232.55
16-07-2025,232.25
15-07-2025,231.84
14-07-2025,228.44
11-07-2025,228.65
10-07-2025,227.91
09-07-2025,226.78
08-07-2025,227.7
07-07-2025,226.47
04-07-2025,227.3
03-07-2025,228.62
02-07-2025,228.17
01-07-2025,227.01
30-06-2025,225.37
27-06-2025,228.75
26-06-2025,228.18
25-06-2025,228.12
24-06-2025,225.05
23-06-2025,219.84
20-06-2025,221.06
19-06-2025,218.87
18-06-2025,223.22
17-06-2025,224.08
16-06-2025,223.45
13-06-2025,222.42
12-06-2025,224.25
11-06-2025,225.86
10-06-2025,223.6
09-06-2025,221.54
06-06-2025,218.86
05-06-2025,219.54
04-06-2025,217.79
03-06-2025,214.6
02-06-2025,212.11
30-05-2025,214.05
29-05-2025,216.39
28-05-2025,214.77
27-05-2025,215.33
26-05-2025,216.32
23-05-2025,218.44
22-05-2025,218.34
21-05-2025,219.92
20-05-2025,217.97
19-05-2025,216.69
16-05-2025,218.44
15-05-2025,219.06
14-05-2025,220.23
13-05-2025,215.12
12-05-2025,216.89
09-05-2025,211.7
08-05-2025,209.9
07-05-2025,209.84
06-05-2025,210.25
05-05-2025,210.03
02-05-2025,208.24
01-05-2025,201.46
30-04-2025,201.49
29-04-2025,199.84
28-04-2025,198.98
25-04-2025,198.55
24-04-2025,196.34
23-04-2025,197.71
22-04-2025,191.65
21-04-2025,191.67
18-04-2025,192.23
17-04-2025,192.03
16-04-2025,190.85
15-04-2025,194.8
14-04-2025,193.69
11-04-2025,190.75
10-04-2025,187.21
09-04-2025,179.83
08-04-2025,181.76
07-04-2025,182.19
04-04-2025,205.76
03-04-2025,206.5
02-04-2025,208.72
01-04-2025,208.55
31-03-2025,205.48
28-03-2025,210.6
27-03-2025,212.4
26-03-2025,212.85
25-03-2025,212.48
24-03-2025,214.85
21-03-2025,214.03
20-03-2025,218.01
19-03-2025,219.73
18-03-2025,221.15
17-03-2025,217.31
14-03-2025,215.53
13-03-2025,212.18
12-03-2025,214.48
11-03-2025,214.59
10-03-2025,215.35
07-03-2025,218.76
06-03-2025,219.96
05-03-2025,215.53
04-03-2025,210.24
03-03-2025,211.05
28-02-2025,212.05
27-02-2025,216.95
26-02-2025,218.99
25-02-2025,214.19
24-02-2025,217.77
21-02-2025,220.18
20-02-2025,213.44
19-02-2025,215.84
18-02-2025,216.98
17-02-2025,214.86
14-02-2025,213
13-02-2025,208.93
12-02-2025,208.88
11-02-2025,205.98
10-02-2025,207.18
07-02-2025,206.36
06-02-2025,204.16
05-02-2025,201.94
04-02-2025,201.69
03-02-2025,197.35
31-01-2025,201.74
30-01-2025,202.05
29-01-2025,201.79
28-01-2025,201.81
27-01-2025,201.5
24-01-2025,200.58
23-01-2025,197.99
22-01-2025,198.17
21-01-2025,199.46
20-01-2025,198.56
17-01-2025,195.76
16-01-2025,194.6
15-01-2025,191.3
14-01-2025,192.12
13-01-2025,188.5
10-01-2025,191.47
09-01-2025,193.43
08-01-2025,194.54
07-01-2025,197.25
06-01-2025,198.04
03-01-2025,195.89
02-01-2025,195.21
31-12-2024,198.99
30-12-2024,200.01
27-12-2024,200.86
26-12-2024,200.88
25-12-2024,200.95
24-12-2024,200.73
23-12-2024,199.27
20-12-2024,196.39
19-12-2024,198.26
18-12-2024,200.16
17-12-2024,198.57
16-12-2024,199.2
13-12-2024,200.15
12-12-2024,202.68
11-12-2024,200.57
10-12-2024,202.5
09-12-2024,204.14
06-12-2024,200.2
05-12-2024,198.51
04-12-2024,199.17
03-12-2024,198.21
02-12-2024,196.08
29-11-2024,193.32
28-11-2024,193.18
27-11-2024,194.51
26-11-2024,192.99
25-11-2024,194.46
22-11-2024,194.68
21-11-2024,196.25
20-11-2024,198.22
19-11-2024,198.6
18-11-2024,196.82
15-11-2024,196.75
14-11-2024,196.85
13-11-2024,199.85
12-11-2024,200.68
11-11-2024,206.54
08-11-2024,208.64
07-11-2024,209.23
06-11-2024,205.73
05-11-2024,208.69
04-11-2024,205.35
01-11-2024,203.38
31-10-2024,202.31
30-10-2024,203.01
29-10-2024,205.42
28-10-2024,206.23
25-10-2024,206.51
24-10-2024,205.22
23-10-2024,207.42
22-10-2024,207.13
21-10-2024,207.05
18-10-2024,208.68
17-10-2024,201.63
16-10-2024,203.36
15-10-2024,204.96
14-10-2024,208.99
11-10-2024,209.81
10-10-2024,208.9
09-10-2024,205.57
08-10-2024,208.25
07-10-2024,220.1
04-10-2024,217.2
03-10-2024,213.99
02-10-2024,216.15
01-10-2024,208.41
30-09-2024,207.62
27-09-2024,205.35
26-09-2024,200.36
25-09-2024,193.01
24-09-2024,190.75
23-09-2024,184.63
20-09-2024,184.15
19-09-2024,182.45
18-09-2024,178.79
17-09-2024,179.59
16-09-2024,178.62
13-09-2024,177.59
12-09-2024,176.6
11-09-2024,173.61
10-09-2024,173.97
09-09-2024,174.1
06-09-2024,177.11
05-09-2024,175.84
04-09-2024,175.15
03-09-2024,179.66
02-09-2024,180.51
30-08-2024,181.99
29-08-2024,180.77
28-08-2024,180.76
27-08-2024,181.46
26-08-2024,182.25
23-08-2024,181.91
22-08-2024,182.48
21-08-2024,181.7
20-08-2024,182.97
19-08-2024,183.6
16-08-2024,181.8
15-08-2024,178.47
14-08-2024,179.05
13-08-2024,178.81
12-08-2024,178.28
09-08-2024,176.92
08-08-2024,173.57
07-08-2024,174.43
06-08-2024,170.67
05-08-2024,167.71
02-08-2024,173.85
01-08-2024,179.18
31-07-2024,178.06
30-07-2024,175.87
29-07-2024,177.3
26-07-2024,176.14
25-07-2024,178.69
24-07-2024,180.44
23-07-2024,181.32
22-07-2024,180.43
19-07-2024,181.55
18-07-2024,185.39
17-07-2024,186.77
16-07-2024,188.05
15-07-2024,189.27
12-07-2024,191.19
11-07-2024,190.96
10-07-2024,186.97
09-07-2024,187.03
08-07-2024,186.25
05-07-2024,186.07
04-07-2024,187.35
03-07-2024,185.24
02-07-2024,182.83
01-07-2024,183.82
28-06-2024,183.82
27-06-2024,183.3
26-06-2024,185.87
25-06-2024,185.46
24-06-2024,185.34
21-06-2024,187.23
20-06-2024,189.69
19-06-2024,189.93
18-06-2024,185.43
17-06-2024,184.72
14-06-2024,185.14
13-06-2024,185.31
12-06-2024,183.21
11-06-2024,182.84
10-06-2024,184.55
07-06-2024,184.46
06-06-2024,185.76
05-06-2024,183.43
04-06-2024,182.77
03-06-2024,183.04
31-05-2024,179.87
30-05-2024,182.19
29-05-2024,184.68
28-05-2024,187.72
27-05-2024,188.05
24-05-2024,185.85
23-05-2024,187.84
22-05-2024,189.33
21-05-2024,188.18
20-05-2024,190.96
17-05-2024,190.54
16-05-2024,189.61
15-05-2024,187.03
14-05-2024,186.1
13-05-2024,185.63
10-05-2024,183.48
09-05-2024,180.94
08-05-2024,179.51
07-05-2024,180.66
06-05-2024,180.96
03-05-2024,179.24
02-05-2024,176.52
01-05-2024,174.38
30-04-2024,174.38
29-04-2024,175.19
26-04-2024,173.47
25-04-2024,169.83
24-04-2024,170.85
23-04-2024,166.51
22-04-2024,164.07
19-04-2024,162.75
18-04-2024,166.98
17-04-2024,165.79
16-04-2024,164.51
15-04-2024,168.41
12-04-2024,170.11
11-04-2024,172.74
10-04-2024,173.31
09-04-2024,171.91
08-04-2024,169.7
05-04-2024,169.67
04-04-2024,170.02
03-04-2024,170.11
02-04-2024,171.57
01-04-2024,169.17
29-03-2024,169.24
28-03-2024,168.5
27-03-2024,168
26-03-2024,169.37
25-03-2024,168.74
22-03-2024,169.32
21-03-2024,171.66
20-03-2024,169.04
19-03-2024,169.06
18-03-2024,171
15-03-2024,169.96
14-03-2024,172.51
13-03-2024,173.07
12-03-2024,172.91
11-03-2024,169.38
08-03-2024,168.01
07-03-2024,166.43
06-03-2024,166.09
05-03-2024,164.45
04-03-2024,166.7
01-03-2024,165.18
29-02-2024,165.03
28-02-2024,164.66
27-02-2024,166.42
26-02-2024,165.74
23-02-2024,166.42
22-02-2024,166.32
21-02-2024,164.18
20-02-2024,162.89
19-02-2024,162.13
16-02-2024,163.27
15-02-2024,161.4
14-02-2024,158.87
13-02-2024,157.84
12-02-2024,158.06
09-02-2024,157.82
08-02-2024,158.46
07-02-2024,159.44
06-02-2024,159.43
05-02-2024,154.91
02-02-2024,155.11
01-02-2024,155.03
31-01-2024,154.31
30-01-2024,156.45
29-01-2024,159.42
26-01-2024,158.94
25-01-2024,160.69
24-01-2024,158.07
23-01-2024,154.69
22-01-2024,152.01
19-01-2024,154.09
18-01-2024,152.65
17-01-2024,151.46
16-01-2024,155.95
15-01-2024,158.87
12-01-2024,159.32
11-01-2024,159.72
10-01-2024,158.14
09-01-2024,159.08
08-01-2024,159.53
05-01-2024,161.21
04-01-2024,162.53
03-01-2024,162.66
02-01-2024,164.46
01-01-2024,166.6
29-12-2023,166.6
28-12-2023,166.24
27-12-2023,162.94
26-12-2023,160.54
25-12-2023,159.82
22-12-2023,159.68
21-12-2023,162.13
20-12-2023,162.11
19-12-2023,162.03
18-12-2023,162.74
15-12-2023,163.66
14-12-2023,161.42
13-12-2023,159.57
12-12-2023,160.65
11-12-2023,159.37
08-12-2023,159.83
07-12-2023,159.32
06-12-2023,160.43
05-12-2023,159.53
04-12-2023,162.08
01-12-2023,163.62
30-11-2023,165.35
29-11-2023,164.56
28-11-2023,166.13
27-11-2023,165.52
24-11-2023,166.38
23-11-2023,168.36
22-11-2023,167.09
21-11-2023,168
20-11-2023,167.16
17-11-2023,164.74
16-11-2023,166.44
15-11-2023,167.55
14-11-2023,162.56
13-11-2023,162.34
10-11-2023,160.37
09-11-2023,162.45
08-11-2023,162.7
07-11-2023,163.14
06-11-2023,164.77
03-11-2023,161.8
02-11-2023,158.51
01-11-2023,156.46
31-10-2023,156.85
30-10-2023,158.97
27-10-2023,158.69
26-10-2023,156.31
25-10-2023,157.45
24-10-2023,156.53
23-10-2023,156.76
20-10-2023,157.67
19-10-2023,158.27
18-10-2023,160.95
17-10-2023,162.49
16-10-2023,161.88
13-10-2023,163.65
12-10-2023,166.62
11-10-2023,164.51
10-10-2023,162.31
09-10-2023,161.37
06-10-2023,161.23
05-10-2023,159.12
04-10-2023,158.18
03-10-2023,159.77
02-10-2023,162.86
29-09-2023,162.18
28-09-2023,159.83
27-09-2023,161.01
26-09-2023,160.15
25-09-2023,162.3
22-09-2023,164.01
21-09-2023,161.11
20-09-2023,163.67
19-09-2023,165.07
18-09-2023,165.27
15-09-2023,167.4
14-09-2023,166.63
13-09-2023,165.6
12-09-2023,166.03
11-09-2023,166.04
08-09-2023,166.3
07-09-2023,166.69
06-09-2023,169.06
05-09-2023,169.68
04-09-2023,172.06
01-09-2023,168.53
31-08-2023,168.18
30-08-2023,169.04
29-08-2023,169.09
28-08-2023,166.2
25-08-2023,164.68
24-08-2023,167.5
23-08-2023,164.31
22-08-2023,163.78
21-08-2023,162.46
18-08-2023,164.66
17-08-2023,167.73
16-08-2023,167.39
15-08-2023,168.89
14-08-2023,169.98
11-08-2023,172.5
10-08-2023,174.72
09-08-2023,175
08-08-2023,174.63
07-08-2023,177.65
04-08-2023,177.76
03-08-2023,177.61
02-08-2023,177.36
01-08-2023,181.73
31-07-2023,182.39
28-07-2023,181.69
27-07-2023,179.08
26-07-2023,177.5
25-07-2023,177.65
24-07-2023,171.83
21-07-2023,173.73
20-07-2023,174.04
19-07-2023,174.42
18-07-2023,175.38
17-07-2023,178.16
14-07-2023,178.58
13-07-2023,177.38
12-07-2023,173.46
11-07-2023,171.69
10-07-2023,169.24
07-07-2023,168.55
06-07-2023,169.56
05-07-2023,173.91
04-07-2023,176.02
03-07-2023,175.09
30-06-2023,171.97
29-06-2023,172.16
28-06-2023,173.79
27-06-2023,173.88
26-06-2023,172.03
23-06-2023,173.42
22-06-2023,175.33
21-06-2023,175.43
20-06-2023,178.12
19-06-2023,181.05
16-06-2023,182.5
15-06-2023,181.36
14-06-2023,178.24
13-06-2023,178.53
12-06-2023,176.35
09-06-2023,175.85
08-06-2023,174.73
07-06-2023,174.96
06-06-2023,173.43
05-06-2023,173.46
02-06-2023,173.28
01-06-2023,167.87
31-05-2023,167.95
30-05-2023,170.52
29-05-2023,170.64
26-05-2023,171.27
25-05-2023,169.64
24-05-2023,171.31
23-05-2023,173.54
22-05-2023,175.45
19-05-2023,174.13
18-05-2023,175.4
17-05-2023,174.46
16-05-2023,175.66
15-05-2023,175.03
12-05-2023,172.73
11-05-2023,174.17
10-05-2023,174.29
09-05-2023,175.2
08-05-2023,177.46
05-05-2023,176.22
04-05-2023,175.35
03-05-2023,173.71
02-05-2023,175.18
01-05-2023,175.43
28-04-2023,175.52
27-04-2023,174.43
26-04-2023,173.89
25-04-2023,173.04
24-04-2023,176.33
21-04-2023,177.51
20-04-2023,179.97
19-04-2023,180.33
18-04-2023,182.6
17-04-2023,183.57
14-04-2023,181.63
13-04-2023,180.72
12-04-2023,180.86
11-04-2023,182.63
10-04-2023,181.94
07-04-2023,181.9
06-04-2023,181.79
05-04-2023,181.95
04-04-2023,182.14
03-04-2023,183.21
31-03-2023,183.39
30-03-2023,182.81
29-03-2023,181.75
28-03-2023,179.37
27-03-2023,178.42
24-03-2023,181.12
23-03-2023,181.66
22-03-2023,177.64
21-03-2023,175.24
20-03-2023,173.06
17-03-2023,175.94
16-03-2023,173.09
15-03-2023,175.23
14-03-2023,173.84
13-03-2023,176.79
10-03-2023,173.47
09-03-2023,177.15
08-03-2023,179.24
07-03-2023,182.51
06-03-2023,183.43
03-03-2023,183.21
02-03-2023,182.07
01-03-2023,183.01
28-02-2023,177.08
27-02-2023,178.16
24-02-2023,178.36
23-02-2023,181.96
22-02-2023,181
21-02-2023,183.03
20-02-2023,185.77
17-02-2023,183.93
16-02-2023,186.64
15-02-2023,185.48
14-02-2023,188.35
13-02-2023,188.51
10-02-2023,188.42
09-02-2023,191.55
08-02-2023,189.26
07-02-2023,188.89
06-02-2023,188.11
03-02-2023,192.8
02-02-2023,194.83
01-02-2023,194.61
31-01-2023,191.5
30-01-2023,194.29
27-01-2023,195.91
26-01-2023,195.26
25-01-2023,191.88
24-01-2023,191.86
23-01-2023,191.84
20-01-2023,191.75
19-01-2023,189.08
18-01-2023,189.21
17-01-2023,188.94
16-01-2023,190.38
13-01-2023,189.75
12-01-2023,187.25
11-01-2023,187.23
10-01-2023,186.84
09-01-2023,186.81
06-01-2023,182.11
05-01-2023,182
04-01-2023,179.43
03-01-2023,175.47
02-01-2023,172.56
30-12-2022,172.56
29-12-2022,172.19
28-12-2022,173.25
27-12-2022,172.52
26-12-2022,171.89
23-12-2022,171.72
22-12-2022,173.49
21-12-2022,170.06
20-12-2022,169.33
19-12-2022,172.28
16-12-2022,173.57
15-12-2022,173.98
14-12-2022,176.16
13-12-2022,174.31
12-12-2022,174.06
09-12-2022,177.5
08-12-2022,174.3
07-12-2022,170.22
06-12-2022,174.38
05-12-2022,176.11
02-12-2022,170.3
01-12-2022,170.47
30-11-2022,168.41
29-11-2022,164.72
28-11-2022,157.98
25-11-2022,160.45
24-11-2022,161.37
23-11-2022,159.75
22-11-2022,158.83
21-11-2022,160.15
18-11-2022,162.59
17-11-2022,163.06
16-11-2022,164.59
15-11-2022,165.37
14-11-2022,158.4
11-11-2022,155.76
10-11-2022,144.84
09-11-2022,146.35
08-11-2022,146.89
07-11-2022,146.81
04-11-2022,143.97
03-11-2022,137.86
02-11-2022,140.88
01-11-2022,138.37
31-10-2022,132.88
28-10-2022,133.65
27-10-2022,137.89
26-10-2022,136.98
25-10-2022,134.86
24-10-2022,134.91
21-10-2022,142.94
20-10-2022,143.64
19-10-2022,145.2
18-10-2022,149
17-10-2022,146.65
14-10-2022,147.28
13-10-2022,145.13
12-10-2022,147.72
11-10-2022,147.95
10-10-2022,152.69
07-10-2022,156.33
06-10-2022,159.44
05-10-2022,159.88
