Category,Multi Asset Allocation,Mutual Fund,Scheme Name,Scheme Code,Primary Benchmark (Most Common)
Equity Scheme,Focused Fund,360 ONE,360 ONE Focused Fund - Regular Plan - Dividend,131579,NIFTY 500 TRI
Equity Scheme,Focused Fund,360 ONE,360 ONE Focused Fund -Regular Plan - Growth,131578,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,360 ONE,360 ONE QUANT FUND REGULAR GROWTH,149317,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,360 ONE,360 ONE QUANT FUND REGULAR INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,149316,NIFTY 500 TRI
Equity Scheme,ELSS,360 ONE,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,151164,NIFTY 500 TRI
Equity Scheme,ELSS,360 ONE,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,151167,NIFTY 500 TRI
Debt Scheme,Overnight Fund,360 ONE,360 ONE Overnight Fund - Regular Plan - Growth,153700,NIFTY 1D Rate Index
Debt Scheme,Overnight Fund,360 ONE,360 ONE Overnight Fund - Regular Plan - IDCW,153702,NIFTY 1D Rate Index
Debt Scheme,Liquid Fund,360 ONE,360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,125342,NIFTY Liquid Index
Debt Scheme,Liquid Fund,360 ONE,360 ONE LIQUID FUND REGULAR PLAN  GROWTH,125259,NIFTY Liquid Index
Debt Scheme,Liquid Fund,360 ONE,360 ONE LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND,125337,NIFTY Liquid Index
Debt Scheme,Dynamic Bond,360 ONE,360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,122612,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,360 ONE,360 ONE Dynamic Bond Fund Regular Plan Bonus,122711,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,360 ONE,360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,122720,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,360 ONE,360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,122719,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,360 ONE,360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,122712,NIFTY Composite Debt Index (A-III)
Hybrid Scheme,Balanced Hybrid Fund,360 ONE,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,152075,NIFTY 50 Hybrid Composite Debt 50:50 Index
Hybrid Scheme,Balanced Hybrid Fund,360 ONE,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,152074,NIFTY 50 Hybrid Composite Debt 50:50 Index
Hybrid Scheme,Multi Asset Allocation,360 ONE,360 ONE Multi Asset Allocation Fund - Regular Plan - Growth,153772,65% NIFTY 50 (Equity) + 25% NIFTY Composite Debt (Debt) + 10% Domestic Gold Price
Hybrid Scheme,Multi Asset Allocation,360 ONE,360 ONE Multi Asset Allocation Fund - Regular Plan - IDCW,153775,65% NIFTY 50 (Equity) + 25% NIFTY Composite Debt (Debt) + 10% Domestic Gold Price
Other Scheme,Gold ETF,360 ONE,360 ONE Gold ETF,153357,Domestic Price of Gold
Other Scheme,Other  ETFs,360 ONE,360 ONE Silver ETF,153415,Nifty 500 TRI
Equity Scheme,Flexi Cap Fund,360 ONE,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,151799,NIFTY 500 TRI
Equity Scheme,Flexi Cap Fund,360 ONE,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,151797,NIFTY 500 TRI
Equity Scheme,Multi Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,148918,NIFTY 500 Multicap 50:25:25 TRI
Equity Scheme,Multi Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout,148919,NIFTY 500 Multicap 50:25:25 TRI
Equity Scheme,Large Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Large Cap Fund-Growth,103174,NIFTY 100 TRI
Equity Scheme,Large Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Large Cap Fund-Regular - IDCW,103173,NIFTY 100 TRI
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,100033,NIFTY LargeMidcap 250 TRI
Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,100034,NIFTY LargeMidcap 250 TRI
Equity Scheme,Mid Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,101591,NIFTY Midcap 150 TRI
Equity Scheme,Mid Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life MIDCAP Fund-Growth,101592,NIFTY Midcap 150 TRI
Equity Scheme,Small Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Small Cap Fund - GROWTH,105804,NIFTY Smallcap 250 TRI
Equity Scheme,Small Cap Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Small Cap Fund -Regular - IDCW,105805,NIFTY Smallcap 250 TRI
Equity Scheme,Dividend Yield Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,101738,NIFTY 500 TRI
Equity Scheme,Dividend Yield Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,101737,NIFTY 500 TRI
Equity Scheme,Value Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Value Fund - Growth Option,108167,NIFTY 500 TRI
Equity Scheme,Value Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Value Fund - Regular - IDCW,108166,NIFTY 500 TRI
Equity Scheme,Focused Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Focused Fund -Growth Option,103309,NIFTY 500 TRI
Equity Scheme,Focused Fund,Aditya Birla Sun Life,Aditya Birla Sun Life Focused Fund -Regular - IDCW,103308,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,125596,NIFTY Financial Services TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,125595,NIFTY Financial Services TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Business Cycle Fund-Regular IDCW Payout,149294,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Business Cycle Fund-Regular-Growth,149296,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Conglomerate Fund-Regular Growth,153127,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Conglomerate Fund-Regular IDCW Payout,153126,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life,Aditya Birla Sun Life Consumption Fund -Regular - IDCW,103110,NIFTY India Consumption TRI
