Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
SBI Bluechip Fund,Equity (Large Cap),103525,103526
SBI Small Cap Fund,Equity (Small Cap),109635,109636
SBI Contra Fund,Equity (Contra),102170,102171
SBI Focused Fund,Equity (Focused),103362,103363
SBI Midcap Fund,Equity (Mid Cap),103006,103007
SBI ELSS Tax Saver Fund,Equity (ELSS),102008,102009
SBI Flexicap Fund,Equity (Flexi Cap),103445,103446
SBI Large & Midcap Fund,Equity (Large & Mid),100552,100553
SBI Equity Hybrid Fund,Hybrid (Aggressive),100522,100523
SBI Balanced Advantage Fund,Hybrid (Dynamic),149131,149132
SBI Liquid Fund,Debt (Liquid),100539,100540 (Weekly)
SBI Gold ETF,ETF,113063,N/A
SBI Nifty 50 ETF,ETF,134375,N/A
