Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
360 ONE Focused Fund,Equity,131578,131579
360 ONE Flexicap Fund,Equity,151795,151798
360 ONE Quant Fund,Equity,149317,149316
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Equity,151164,151167
360 ONE Balanced Hybrid Fund,Hybrid,152075,152074
360 ONE Multi Asset Allocation Fund,Hybrid,153772,153775
360 ONE Dynamic Bond Fund,Debt,122612,122719 (Monthly)
360 ONE Liquid Fund,Debt,125344,125346 (Daily)
360 ONE Overnight Fund,Debt,153700,153702
360 ONE Gold ETF,ETF,153357,N/A
360 ONE Silver ETF,ETF,153415,N/A
