Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Aditya Birla Sun Life Frontline Equity Fund,Equity (Large Cap),103174,103173
Aditya Birla Sun Life Flexi Cap Fund,Equity (Flexi Cap),102554,102555
Aditya Birla Sun Life Small Cap Fund,Equity (Small Cap),106362,106363
Aditya Birla Sun Life Mid Cap Fund,Equity (Mid Cap),102604,102605
Aditya Birla Sun Life Focused Fund,Equity (Focused),103233,103234
Aditya Birla Sun Life Balanced Advantage Fund,Hybrid,101662,101663
Aditya Birla Sun Life Equity Hybrid '95 Fund,Hybrid,100143,100144
Aditya Birla Sun Life Liquid Fund,Debt (Liquid),100067,100068 (Daily)
Aditya Birla Sun Life Corporate Bond Fund,Debt,103178,103179
Aditya Birla Sun Life Savings Fund,Debt (Ultra Short),100057,100058
Aditya Birla Sun Life Gold ETF,ETF,115127,N/A
Aditya Birla Sun Life Silver ETF,ETF,149262,N/A
Aditya Birla Sun Life Nifty 50 ETF,ETF,119643,N/A
Aditya Birla Sun Life Sensex ETF,ETF,139581,N/A
