Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Bajaj Finserv Flexi Cap Fund,Equity (Flexi Cap),151898,151899
Bajaj Finserv Large and Mid Cap Fund,Equity (Large & Mid),152409*,N/A
Bajaj Finserv Small Cap Fund,Equity (Small Cap),153611*,N/A
Bajaj Finserv ELSS Tax Saver Fund,Equity (ELSS),153202,153200
Bajaj Finserv Balanced Advantage Fund,Hybrid,152196,152197
Bajaj Finserv Multi Asset Allocation Fund,Hybrid,152642,152640
Bajaj Finserv Arbitrage Fund,Hybrid,152078,152079
Bajaj Finserv Liquid Fund,Debt (Liquid),151837,"151839 (Daily)

151842 (Monthly)"
Bajaj Finserv Overnight Fund,Debt (Overnight),151847,151852 (Daily)
Bajaj Finserv Banking & PSU Fund,Debt,152165,152166
