Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Bank of India Flexi Cap Fund,Equity (Flexi Cap),148405,148407
Bank of India Small Cap Fund,Equity (Small Cap),145677,145676
Bank of India Bluechip Fund,Equity (Large Cap),148982,148983
Bank of India ELSS Tax Saver Fund,Equity (ELSS),109987,109988
Bank of India Manufacturing & Infrastructure Fund,Equity (Sectoral),113543,113544
Bank of India Multi Cap Fund,Equity (Multi Cap),151442,151443
Bank of India Mid & Small Cap Equity & Debt Fund,Hybrid (Aggressive),139526,139528
Bank of India Conservative Hybrid Fund,Hybrid (Conservative),111715,111716
Bank of India Arbitrage Fund,Hybrid (Arbitrage),143613,143615
Bank of India Balanced Advantage Fund,Hybrid (Dynamic),127849,127851
Bank of India Liquid Fund,Debt (Liquid),108649,108650
Bank of India Short Term Income Fund,Debt (Short Duration),109995,109996
