Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Baroda BNP Paribas Large Cap Fund,Equity (Large Cap),100373,100374
Baroda BNP Paribas Multi Cap Fund,Equity (Multi Cap),100635,100636
Baroda BNP Paribas Mid Cap Fund,Equity (Mid Cap),103853,103854
Baroda BNP Paribas Small Cap Fund,Equity (Small Cap),152126,152127
Baroda BNP Paribas ELSS Tax Saver Fund,Equity (ELSS),100375,100376
Baroda BNP Paribas Focused Fund,Equity (Focused),141875,141876
Baroda BNP Paribas Balanced Advantage Fund,Hybrid,145387,145389
Baroda BNP Paribas Aggressive Hybrid Fund,Hybrid,140230,140231
Baroda BNP Paribas Liquid Fund,Debt (Liquid),100628,"100629 (Daily)

100630 (Weekly)"
Baroda BNP Paribas Banking & PSU Fund,Debt,147868,147869
