Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Bandhan Sterling Value Fund,Equity (Value),109234,109235
Bandhan Flexi Cap Fund,Equity (Flexi Cap),102526,102527
Bandhan ELSS Tax Saver Fund,Equity (ELSS),108668,108669
Bandhan Core Equity Fund,Equity (Large & Mid),102517,102518
Bandhan Nifty 50 Index Fund,Equity (Index),111860,111861
Bandhan Multi Asset Allocation Fund,Hybrid,152822*,152823
Bandhan Arbitrage Fund,Hybrid,101132,101133
Bandhan Liquid Fund,Debt (Liquid),100417,100418 (Monthly)
Bandhan Corporate Bond Fund,Debt,135650,135651
Bandhan Banking & PSU Fund,Debt,118635,118636
