Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Canara Robeco Bluechip Equity Fund,Equity (Large Cap),113221,113222
Canara Robeco Flexi Cap Fund,Equity (Flexi Cap),102936,102937
Canara Robeco Small Cap Fund,Equity (Small Cap),146127,146128
Canara Robeco Large & Mid Cap Fund (Emerging Equities),Equity (Large & Mid),102920,102921
Canara Robeco ELSS Tax Saver Fund,Equity (ELSS),102941,102942
Canara Robeco Consumer Trends Fund,Equity (Sectoral),112005,112006
Canara Robeco Infrastructure Fund,Equity (Sectoral),102926,102927
Canara Robeco Equity Hybrid Fund,Hybrid (Aggressive),102947,102948
Canara Robeco Conservative Hybrid Fund,Hybrid (Conservative),133276,133277
Canara Robeco Liquid Fund,Debt (Liquid),102957,102958
Canara Robeco Multi Cap Fund,Equity (Multi Cap),151824*,151825
Canara Robeco Manufacturing Fund,Equity (Thematic),152450*,N/A
