Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
DSP Flexi Cap Fund,Equity (Flexi Cap),105875,100080
DSP Midcap Fund,Equity (Mid Cap),104481,104482
DSP Small Cap Fund,Equity (Small Cap),105156,105157
DSP ELSS Tax Saver Fund,Equity (ELSS),104772,104773
DSP Top 100 Equity Fund,Equity (Large Cap),101635,101636
DSP Focused Fund,Equity (Focused),110283,113032
DSP Natural Resources & New Energy Fund,Equity (Thematic),108202,108203
DSP Quant Fund,Equity (Thematic),146269,146270
DSP Equity & Bond Fund,Hybrid (Aggressive),100081,100082
DSP Liquidity Fund,Debt (Liquid),103347,103348 (Weekly)
DSP Nifty 50 ETF,ETF,149392,N/A
DSP Gold ETF,ETF,151889*,N/A
