Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Edelweiss Balanced Advantage Fund,Hybrid (Dynamic),119565,119566
Edelweiss Mid Cap Fund,Equity (Mid Cap),109503,109504
Edelweiss Small Cap Fund,Equity (Small Cap),145942,145943
Edelweiss Flexi Cap Fund,Equity (Flexi Cap),132757,132758
Edelweiss Large & Mid Cap Fund,Equity (Large & Mid),109511,109512
Edelweiss ELSS Tax Saver Fund,Equity (ELSS),111166,111167
Edelweiss Liquid Fund,Debt (Liquid),109497,109498
Edelweiss Arbitrage Fund,Hybrid (Arbitrage),130547,130548
Edelweiss Nifty 50 Index Fund,Equity (Index),112474,N/A
Edelweiss Technology Fund,Equity (Sectoral),153163*,N/A
Edelweiss Recently Listed IPO Fund,Equity (Thematic),141974,141975
Edelweiss Multi Asset Allocation Fund,Hybrid,151833,151834
