Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Franklin India Bluechip Fund,Equity (Large Cap),100424,100423
Franklin India Flexi Cap Fund,Equity (Flexi Cap),100356,100354
Franklin India Prima Fund,Equity (Mid Cap),100363,100361
Franklin India Smaller Companies Fund,Equity (Small Cap),100407,100404
Franklin India ELSS Tax Saver Fund,Equity (ELSS),100650,100649
Franklin India Focused Equity Fund,Equity (Focused),108194,108195
Franklin Build India Fund,Equity (Sectoral),112112,112113
Franklin India Feeder - Franklin U.S. Opportunities Fund,Equity (International),116568,116569
Franklin India Liquid Fund,Debt (Liquid),100612*,100613 (Weekly)
Franklin India Corporate Debt Fund,Debt,100595,100593 (Annual)
