Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Groww Large Cap Fund,Equity (Large Cap),118471,118472
Groww Value Fund,Equity (Value),135340,135339
Groww Nifty Total Market Index Fund,Equity (Index),152092*,N/A
Groww ELSS Tax Saver Fund,Equity (ELSS),141807,141806
Groww Flexi Cap Fund,Equity (Flexi Cap),155690*,155691
Groww Liquid Fund,Debt (Liquid),118473,"13491 (Daily)

13492 (Weekly)"
Groww Overnight Fund,Debt (Overnight),146930,146931
Groww Short Duration Fund,Debt (Short),118475,118476
Groww Gold ETF,ETF,152957,N/A
Groww Nifty 50 ETF,ETF,153699,N/A
