Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
HDFC Top 100 Fund,Equity (Large Cap),102036,102037
HDFC Flexi Cap Fund,Equity (Flexi Cap),101625,101626
HDFC Mid Cap Fund,Equity (Mid Cap),104430,104429
HDFC Small Cap Fund,Equity (Small Cap),108538,108539
HDFC ELSS Tax Saver Fund,Equity (ELSS),101979,101978
HDFC Focused Fund,Equity (Focused),103138,103139
HDFC Balanced Advantage Fund,Hybrid (Dynamic),100414,100413
HDFC Hybrid Equity Fund,Hybrid (Aggressive),102948,102947
HDFC Liquid Fund,Debt (Liquid),103328,103329
HDFC Corporate Bond Fund,Debt,113197,113198
HDFC Gold ETF,ETF,113042,N/A
HDFC Silver ETF,ETF,150556,N/A
HDFC Nifty 50 ETF,ETF,132899,N/A
HDFC Nifty 100 ETF,ETF,150914,N/A
