Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
HSBC Small Cap Fund,Equity (Small Cap),129223,129221
HSBC Midcap Fund,Equity (Mid Cap),102839,102840
HSBC Flexi Cap Fund,Equity (Flexi Cap),102252,102251
HSBC Large Cap Fund,Equity (Large Cap),101594,101593
HSBC Value Fund,Equity (Value),118102,118103
HSBC ELSS Tax Saver Fund,Equity (ELSS),118047,118048
HSBC Focused Fund,Equity (Focused),148408,148409
HSBC Multi Cap Fund,Equity (Multi Cap),151287*,151288
HSBC Balanced Advantage Fund,Hybrid (Dynamic),113115,113117
HSBC Aggressive Hybrid Fund,Hybrid (Aggressive),113123,113125
HSBC Liquid Fund,Debt (Liquid),118902,118903 (Monthly)
HSBC Corporate Bond Fund,Debt,112410,112414 (Quarterly)
