Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
ICICI Prudential Bluechip Fund,Equity (Large Cap),101452,101451
ICICI Prudential Value Discovery Fund,Equity (Value),100352,100353
ICICI Prudential Flexi Cap Fund,Equity (Flexi Cap),148991,148992
ICICI Prudential Midcap Fund,Equity (Mid Cap),100357,100358
ICICI Prudential Small Cap Fund,Equity (Small Cap),107775,107776
ICICI Prudential Focused Equity Fund,Equity (Focused),112447,112448
ICICI Prudential ELSS Tax Saver Fund,Equity (ELSS),100363,100365
ICICI Prudential Technology Fund,Equity (Sectoral),100368,100369
ICICI Prudential Balanced Advantage Fund,Hybrid (Dynamic),101188,101189
ICICI Prudential Multi Asset Fund,Hybrid (Multi Asset),101037,101038
ICICI Prudential Equity & Debt Fund,Hybrid (Aggressive),100351,100350
ICICI Prudential Liquid Fund,Debt (Liquid),100347,100348 (Weekly)
ICICI Prudential Nifty 50 ETF,ETF,120689,N/A
ICICI Prudential Nifty 50 Index Fund,Equity (Index),101449,101450
