Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
ITI Multi Cap Fund,Equity (Multi Cap),147182,147180
ITI Small Cap Fund,Equity (Small Cap),147918,147916
ITI Mid Cap Fund,Equity (Mid Cap),148732,148730
ITI Large Cap Fund,Equity (Large Cap),148352,148350
ITI ELSS Tax Saver Fund,Equity (ELSS),147540,147538
ITI Value Fund,Equity (Value),148971,148969
ITI Focused Fund,Equity (Focused),151776,151775
ITI Flexi Cap Fund,Equity (Flexi Cap),151378,N/A
ITI Balanced Advantage Fund,Hybrid (Dynamic),147788,147786
ITI Pharma & Healthcare Fund,Equity (Sectoral),149267,149265
ITI Banking & Financial Services Fund,Equity (Sectoral),149320,149318
ITI Liquid Fund,Debt (Liquid),146682,146683 (Daily)
ITI Dynamic Bond Fund,Debt,149028,149026
ITI Banking & PSU Debt Fund,Debt,148533,148531
