Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Invesco India Contra Fund,Equity (Contra),105213,105214
Invesco India Midcap Fund,Equity (Mid Cap),105217,105218
Invesco India Smallcap Fund,Equity (Small Cap),145242,145243
Invesco India Multicap Fund,Equity (Multi Cap),106109,106110
Invesco India ELSS Tax Saver Fund,Equity (ELSS),105223,105224
Invesco India Large & Mid Cap Fund,Equity (Large & Mid),105215,105216
Invesco India Focused 20 Equity Fund,Equity (Focused),147685,147686
Invesco India PSU Equity Fund,Equity (Thematic),112022,112023
Invesco India Infrastructure Fund,Equity (Sectoral),105806,105807
Invesco India Financial Services Fund,Equity (Sectoral),106632,106633
Invesco India Arbitrage Fund,Hybrid (Arbitrage),105225,105226
Invesco India Balanced Advantage Fund,Hybrid (Dynamic),105227,105228
Invesco India Liquid Fund,Debt (Liquid),116062,116064 (Monthly)
