Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
JM Midcap Fund,Equity (Mid Cap),150812,150813
JM Flexicap Fund,Equity (Flexi Cap),100377,100378
JM Value Fund,Equity (Value),100254,106168
JM Large Cap Fund,Equity (Large Cap),100219,100218
JM ELSS Tax Saver Fund,Equity (ELSS),100389,100390
JM Focused Fund,Equity (Focused),100385,100386
JM Aggressive Hybrid Fund,Hybrid (Aggressive),100221,100220
JM Arbitrage Fund,Hybrid (Arbitrage),100393,100394
JM Liquid Fund,Debt (Liquid),100397,100398 (Weekly)
JM Overnight Fund,Debt (Overnight),147833,147834
