Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Kotak Flexicap Fund,Equity (Flexi Cap),INF174K01336,INF174K01302
Kotak Emerging Equity Fund,Equity (Mid Cap),INF174K01DS9,INF174K01DP5
Kotak Small Cap Fund,Equity (Small Cap),INF174K01211,INF174K01195
Kotak Bluechip Fund,Equity (Large Cap),INF174K01153,INF174K01120
Kotak Equity Opportunities Fund,Equity (Large & Mid),INF174K01187,INF174K01161
Kotak ELSS Tax Saver Fund,Equity (ELSS),INF174K01278,INF174K01245
Kotak Balanced Advantage Fund,Hybrid (Dynamic),INF174K01XW4,INF174K01XX2
Kotak Equity Hybrid Fund,Hybrid (Aggressive),INF174K01393,INF174K01369
Kotak Liquid Fund,Debt (Liquid),INF174K01NI9,INF174K01NJ7 (Weekly)
Kotak Bond Fund,Debt,INF174K01096,INF174K01062
Kotak Gold ETF,ETF,INF174K01104,N/A
Kotak Nifty 50 ETF,ETF,INF174K01450,N/A
