Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
LIC MF Large & Mid Cap Fund,Equity (Large & Mid),133711,133712
LIC MF Small Cap Fund,Equity (Small Cap),152003,152001
LIC MF Midcap Fund,Equity (Mid Cap),152001*,151999
LIC MF Multi Cap Fund,Equity (Multi Cap),150658,150656
LIC MF Flexi Cap Fund,Equity (Flexi Cap),INF767K01071 (ISIN),INF767K01014 (ISIN)
LIC MF Large Cap Fund,Equity (Large Cap),INF767K01105 (ISIN),INF767K01121 (ISIN)
LIC MF ELSS Tax Saver Fund,Equity (ELSS),INF767K01956 (ISIN),INF767K01931 (ISIN)
LIC MF Infrastructure Fund,Equity (Sectoral),INF767K01501 (ISIN),INF767K01485 (ISIN)
LIC MF Banking & Financial Services,Equity (Sectoral),INF767K01NG4 (ISIN),INF767K01NH2 (ISIN)
LIC MF Balanced Advantage Fund,Hybrid (Dynamic),149260,149258
LIC MF Aggressive Hybrid Fund,Hybrid (Aggressive),INF767K01097 (ISIN),INF767K01022 (ISIN)
LIC MF Liquid Fund,Debt (Liquid),INF767K01055 (ISIN),INF767K01030 (ISIN)
