Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Mirae Asset Large Cap Fund,Equity (Large Cap),108466,108467
Mirae Asset Emerging Bluechip Fund,Equity (Large & Mid),112927,112928
Mirae Asset ELSS Tax Saver Fund,Equity (ELSS),135783,135784
Mirae Asset Midcap Fund,Equity (Mid Cap),147444,147443
Mirae Asset Focused Fund,Equity (Focused),147205,147204
Mirae Asset Great Consumer Fund,Equity (Thematic),113133,113134
Mirae Asset Healthcare Fund,Equity (Sectoral),143782,143781
Mirae Asset Flexi Cap Fund,Equity (Flexi Cap),151411,151410
Mirae Asset Multicap Fund,Equity (Multi Cap),151809,151808
Mirae Asset Aggressive Hybrid Fund,Hybrid (Aggressive),134812,134814
Mirae Asset Balanced Advantage Fund,Hybrid (Dynamic),150469,150468
Mirae Asset Liquid Fund,Debt (Liquid),107567,107568
Mirae Asset Banking & Financial Services Fund,Equity (Sectoral),148622,148621
Mirae Asset Nifty 50 ETF,ETF,145551,N/A
