Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Motilal Oswal Flexi Cap Fund,Equity (Flexi Cap),129043,129044
Motilal Oswal Midcap Fund,Equity (Mid Cap),127039,127040
Motilal Oswal Focused Fund,Equity (Focused),122386,122387
Motilal Oswal ELSS Tax Saver Fund,Equity (ELSS),133383,133384
Motilal Oswal Large and Midcap Fund,Equity (Large & Mid),147702,147703
Motilal Oswal Small Cap Fund,Equity (Small Cap),152236,152234
Motilal Oswal Balanced Advantage Fund,Hybrid (Dynamic),139869,139870
Motilal Oswal Liquid Fund,Debt (Liquid),145833,145832 (Daily)
Motilal Oswal Nasdaq 100 FOF,Equity (International),145551,145550
Motilal Oswal Nifty 50 Index Fund,Equity (Index),147793,N/A
Motilal Oswal Nifty Midcap 150 Index Fund,Equity (Index),147621,N/A
Motilal Oswal Nifty 500 Index Fund,Equity (Index),147624,N/A
Motilal Oswal Nasdaq 100 ETF,ETF,115560,N/A
