Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Nippon India Small Cap Fund,Equity (Small Cap),118778,118779
Nippon India Growth Fund,Equity (Mid Cap),101566,101567
Nippon India Large Cap Fund,Equity (Large Cap),102986,102987
Nippon India Multi Cap Fund,Equity (Multi Cap),103023,103024
Nippon India ELSS Tax Saver Fund,Equity (ELSS),103282,103283
Nippon India Flexi Cap Fund,Equity (Flexi Cap),148888,148889
Nippon India Focused Equity Fund,Equity (Focused),106198,106199
Nippon India Pharma Fund,Equity (Sectoral),102998,102999
Nippon India Banking & Financial Services Fund,Equity (Sectoral),102994,102995
Nippon India Balanced Advantage Fund,Hybrid (Dynamic),103009,103010
Nippon India Equity Hybrid Fund,Hybrid (Aggressive),103027,103028
Nippon India Arbitrage Fund,Hybrid (Arbitrage),109670,109671
Nippon India Liquid Fund,Debt (Liquid),100511,100512 (Weekly)
Nippon India ETF Nifty 50 BeES,ETF,100236,N/A
Nippon India ETF Gold BeES,ETF,100346,N/A
