Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
PGIM India Flexi Cap Fund,Equity (Flexi Cap),133836,133838
PGIM India Midcap Fund,Equity (Mid Cap),125305,125306
PGIM India ELSS Tax Saver Fund,Equity (ELSS),135598,135599
PGIM India Large Cap Fund,Equity (Large Cap),138308,138307
PGIM India Small Cap Fund,Equity (Small Cap),INF663L01W30 (ISIN),INF663L01W14 (ISIN)
PGIM India Global Equity Opportunities,Equity (International),113727,113728
PGIM India Hybrid Equity Fund,Hybrid (Aggressive),100403,100404
PGIM India Balanced Advantage Fund,Hybrid (Dynamic),148657,148655
PGIM India Liquid Fund,Debt (Liquid),108372,108373 (Weekly)
PGIM India Arbitrage Fund,Hybrid (Arbitrage),129045,129046
