Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Quant Small Cap Fund,Equity (Small Cap),120826,120825
Quant Active Fund (Multi Cap),Equity (Multi Cap),120828,120827
Quant Flexi Cap Fund,Equity (Flexi Cap),120833,120834
Quant Mid Cap Fund,Equity (Mid Cap),120844,120843
Quant ELSS Tax Saver Fund,Equity (ELSS),100175,100174
Quant Large & Mid Cap Fund,Equity (Large & Mid),120841,120842
Quant Focused Fund,Equity (Focused),120847,120846
Quant Infrastructure Fund,Equity (Sectoral),120836,120837
Quant Quantamental Fund,Equity (Thematic),149427,149428
Quant Absolute Fund (Aggressive Hybrid),Hybrid (Aggressive),120830,120829
Quant Multi Asset Fund,Hybrid (Multi Asset),120838,120839
Quant Liquid Fund,Debt (Liquid),120823,120824
