Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Quantum Value Fund,Equity (Value),141068,141069
Quantum Small Cap Fund,Equity (Small Cap),152108,152109
Quantum Gold Savings Fund,Hybrid (Gold),141064,N/A
Quantum Liquid Fund,Debt (Liquid),141059,141060 (Monthly)
Quantum ELSS Tax Saver Fund,Equity (ELSS),141071,141070
Quantum Equity Fund of Funds,Equity (FoF),141063,141062
Quantum Multi Asset Fund of Funds,Hybrid (FoF),141072,141073
Quantum Dynamic Bond Fund,Debt (Dynamic),141061,141055
Quantum ESG Best In Class Strategy Fund,Equity (Thematic),147371,147370
Quantum Multi Asset Allocation Fund,Hybrid,152472*,152470
