Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Sundaram Mid Cap Fund,Equity (Mid Cap),101539,101538
Sundaram Small Cap Fund,Equity (Small Cap),109303,109304
Sundaram Large Cap Fund,Equity (Large Cap),148504,148505
Sundaram Large & Mid Cap Fund,Equity (Large & Mid),109299,109300
Sundaram ELSS Tax Saver Fund,Equity (ELSS),100586,100587
Sundaram Flexi Cap Fund,Equity (Flexi Cap),149769*,149770
Sundaram Multi Cap Fund,Equity (Multi Cap),100580,100581
Sundaram Focused Fund,Equity (Focused),100583,100584
Sundaram Aggressive Hybrid Fund,Hybrid (Aggressive),INF173K01CL8 (ISIN),INF173K01CM6 (ISIN)
Sundaram Balanced Advantage Fund,Hybrid (Dynamic),INF173K01EH2 (ISIN),INF173K01EI0 (ISIN)
Sundaram Liquid Fund,Debt (Liquid),INF173K01DA9 (ISIN),INF173K01DD3 (ISIN)
