Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Tata Large Cap Fund,Equity (Large Cap),INF277K01931,INF277K01088
Tata Ethical Fund,Equity (Thematic),INF277K01956,INF277K01964
Tata Flexi Cap Fund,Equity (Flexi Cap),INF277K019K2,INF277K019L0
Tata Mid Cap Fund,Equity (Mid Cap),INF277K01972,INF277K01980
Tata Balanced Advantage Fund,Hybrid (Dynamic),INF277K010S4,INF277K010U0
Tata Digital India Fund,Equity (Sectoral),INF277K01Z85*,N/A
Tata Small Cap Fund,Equity (Small Cap),INF277K011P8*,N/A
Tata Liquid Fund,Debt (Liquid),INF277K01062,INF277K01039 (Weekly)
Tata Arbitrage Fund,Hybrid (Arbitrage),INF277K010G5,INF277K010I1
