Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Taurus Flexi Cap Fund,Equity (Flexi Cap),INF044D01013,INF044D01021
Taurus Mid Cap Fund,Equity (Mid Cap),INF044D01815,INF044D01823
Taurus Large Cap Fund,Equity (Large Cap),INF044D01773,INF044D01781
Taurus ELSS Tax Saver Fund,Equity (ELSS),INF044D01997,INF044D01971
Taurus Ethical Fund,Equity (Thematic),INF044D01831,INF044D01849
Taurus Infrastructure Fund,Equity (Sectoral),INF044D01906,INF044D01914
Taurus Nifty 50 Index Fund,Equity (Index),INF044D01948,INF044D01930
Taurus Banking & Financial Services Fund,Equity (Sectoral),INF044D01872,INF044D01880
Taurus Liquid Fund,Debt (Liquid),INF044D01393,INF044D01401 (Weekly)
