Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
UTI Large Cap Fund,Equity (Large Cap),100574,100573
UTI Flexi Cap Fund,Equity (Flexi Cap),100569,100568
UTI Mid Cap Fund,Equity (Mid Cap),100585,100584
UTI Value Opportunities Fund,Equity (Value),100593,100592
UTI Nifty 50 Index Fund,Equity (Index),100609,100608
UTI ELSS Tax Saver Fund,Equity (ELSS),100579,100578
UTI Focused Fund,Equity (Focused),148301,148302
UTI MNC Fund,Equity (Thematic),100591,100590
UTI Transportation & Logistics Fund,Equity (Sectoral),100589,100588
UTI Infrastructure Fund,Equity (Sectoral),100586,100587
UTI Healthcare Fund,Equity (Sectoral),100557,100556
UTI Liquid Cash Plan,Debt (Liquid),100548,100549
UTI Money Market Fund,Debt (Money Market),100551,100553 (Daily)
