Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Union Flexi Cap Fund,Equity (Flexi Cap),119290,119291
Union Small Cap Fund,Equity (Small Cap),129647,129648
Union Midcap Fund,Equity (Mid Cap),148071,148072
Union Large Cap Fund,Equity (Large Cap),141246,141247
Union Large & Midcap Fund,Equity (Large & Mid),147748,147749
Union ELSS Tax Saver Fund,Equity (ELSS),119305,119306
Union Focused Fund,Equity (Focused),147490,147491
Union Value Fund,Equity (Value),145471,145472
Union Multicap Fund,Equity (Multi Cap),150856,150857
Union Balanced Advantage Fund,Hybrid (Dynamic),142036,142037
Union Aggressive Hybrid Fund,Hybrid (Aggressive),148590,148591
Union Arbitrage Fund,Hybrid (Arbitrage),146295,146296
Union Liquid Fund,Debt (Liquid),119301,119302
Union Overnight Fund,Debt (Overnight),147001,147002
