Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
WhiteOak Capital Flexi Cap Fund,Equity (Flexi Cap),150347,150348
WhiteOak Capital Mid Cap Fund,Equity (Mid Cap),INF03VN01563 (ISIN),INF03VN01571 (ISIN)
WhiteOak Capital Large & Mid Cap Fund,Equity (Large & Mid),152225,152223 (ISIN)
WhiteOak Capital ELSS Tax Saver Fund,Equity (ELSS),150589,150588
WhiteOak Capital Multi Cap Fund,Equity (Multi Cap),INF03VN01795 (ISIN),INF03VN01803 (ISIN)
WhiteOak Capital Large Cap Fund,Equity (Large Cap),INF03VN01662 (ISIN),INF03VN01670 (ISIN)
WhiteOak Capital Balanced Advantage Fund,Hybrid (Dynamic),151268,INF03VN01738 (ISIN)
WhiteOak Capital Multi Asset Allocation Fund,Hybrid,INF03VN01779 (ISIN),INF03VN01787 (ISIN)
WhiteOak Capital Liquid Fund,Debt (Liquid),145968,145972 (Monthly)
WhiteOak Capital Ultra Short Duration Fund,Debt,145976,145980 (Monthly)
